id,data_format,cases,access,file_name,submitter_id,data_category,type,created_datetime,file_size,updated_datetime,md5sum,file_id,data_type,state,experimental_strategy,version,data_release,project,analysis_id,analysis_state,analysis_submitter_id,analysis_workflow_link,analysis_workflow_type,analysis_workflow_version,sample_type,is_ffpe,cases.submitter_id,sample.submitter_id
e4750d76-2220-41bb-837a-c1e154d53a00,TXT,TCGA-HQ-A5NE-01A-12R-A28M-07,open,76ef0645-c851-47d9-912b-2b7d778ffca1.htseq.counts.gz,76ef0645-c851-47d9-912b-2b7d778ffca1_count,Transcriptome Profiling,gene_expression,2016-05-29T11:11:03.198929-05:00,250909,2018-09-05T23:27:38.507030-05:00,d77a40567a64d9425a7582a7d55fa812,e4750d76-2220-41bb-837a-c1e154d53a00,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-BLCA,98ec4124-21f8-4bcf-b876-7676b9d80564,released,76ef0645-c851-47d9-912b-2b7d778ffca1_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-HQ-A5NE,TCGA-HQ-A5NE-01A
08d8d94d-ec0e-473f-90c6-122f1d033210,TXT,TCGA-FD-A5BT-01A-11R-A26T-07,open,c9520c73-df8d-44a0-a1e5-e5d70695b002.htseq.counts.gz,c9520c73-df8d-44a0-a1e5-e5d70695b002_count,Transcriptome Profiling,gene_expression,2016-05-30T18:48:58.395959-05:00,245753,2018-09-05T23:27:38.507030-05:00,b02e123627d7fdddd00bf70aa33c7ca7,08d8d94d-ec0e-473f-90c6-122f1d033210,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-BLCA,c93e2710-b5de-4b64-aec6-5726c7c8d28f,released,c9520c73-df8d-44a0-a1e5-e5d70695b002_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-FD-A5BT,TCGA-FD-A5BT-01A
86f9eea0-7b1f-49aa-9385-9d32a8027ab1,TXT,TCGA-DK-A3IQ-01A-31R-A32Y-07,open,5b341f38-0882-4a42-814b-bb8d614d82e7.htseq.counts.gz,5b341f38-0882-4a42-814b-bb8d614d82e7_count,Transcriptome Profiling,gene_expression,2016-05-29T11:13:03.491375-05:00,251701,2018-09-05T23:27:38.507030-05:00,b1fe5fac4891e82d3f524eb2fd9b5932,86f9eea0-7b1f-49aa-9385-9d32a8027ab1,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-BLCA,70112847-e02b-4c2a-9e8b-f87917f3ffc4,released,5b341f38-0882-4a42-814b-bb8d614d82e7_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-DK-A3IQ,TCGA-DK-A3IQ-01A
02029bc6-5208-4238-9390-082a9fdbf82b,TXT,TCGA-ZF-AA4X-01A-11R-A38B-07,open,9da3bf7e-e8b8-4a33-9746-9febc35b2b93.htseq.counts.gz,9da3bf7e-e8b8-4a33-9746-9febc35b2b93_count,Transcriptome Profiling,gene_expression,2016-05-29T11:14:45.554721-05:00,254263,2018-09-05T23:27:38.507030-05:00,38fec44972a4d197bd0d61089788ab83,02029bc6-5208-4238-9390-082a9fdbf82b,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-BLCA,a8198937-cc13-4c66-8274-b6a550db6569,released,9da3bf7e-e8b8-4a33-9746-9febc35b2b93_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-ZF-AA4X,TCGA-ZF-AA4X-01A
a0b085c8-9c4a-434d-86e8-118cb5db7a9f,TXT,TCGA-GD-A3OQ-01A-32R-A220-07,open,dcbd5bcd-4a10-4e8b-bbe3-91682845c7db.htseq.counts.gz,dcbd5bcd-4a10-4e8b-bbe3-91682845c7db_count,Transcriptome Profiling,gene_expression,2016-05-29T10:07:45.102249-05:00,252024,2018-09-05T23:27:38.507030-05:00,fc2793a706bda773affdf9d82f51cfe3,a0b085c8-9c4a-434d-86e8-118cb5db7a9f,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-BLCA,ac7c3041-dd7b-40aa-a753-d265ea9ac801,released,dcbd5bcd-4a10-4e8b-bbe3-91682845c7db_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-GD-A3OQ,TCGA-GD-A3OQ-01A
f686b453-072b-4183-af7a-d80c53b7c632,TXT,TCGA-ZF-AA51-01A-21R-A39I-07,open,82447a0a-1a26-4042-b376-f96b3e1fe3c1.htseq.counts.gz,82447a0a-1a26-4042-b376-f96b3e1fe3c1_count,Transcriptome Profiling,gene_expression,2016-05-26T21:13:08.354127-05:00,247203,2018-09-05T23:27:38.507030-05:00,85dbb20b2c835cad0debf5785b379f25,f686b453-072b-4183-af7a-d80c53b7c632,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-BLCA,8baa74e2-a020-4cf9-8930-5cae5450a04a,released,82447a0a-1a26-4042-b376-f96b3e1fe3c1_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-ZF-AA51,TCGA-ZF-AA51-01A
bfaf12cb-849a-499f-a4d8-5fa987b5b66d,TXT,TCGA-FD-A3SS-01A-12R-A22U-07,open,b719e8c8-3c22-4822-b551-c1b337704d99.htseq.counts.gz,b719e8c8-3c22-4822-b551-c1b337704d99_count,Transcriptome Profiling,gene_expression,2016-05-30T18:24:30.693111-05:00,255000,2018-09-05T23:27:38.507030-05:00,652dbdea2e2eac2588a6922f28ab777c,bfaf12cb-849a-499f-a4d8-5fa987b5b66d,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-BLCA,11d10445-eb12-49a2-ae47-040735b8edd9,released,b719e8c8-3c22-4822-b551-c1b337704d99_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-FD-A3SS,TCGA-FD-A3SS-01A
8c17f57e-6790-4122-a75c-c510c0508db4,TXT,TCGA-DK-AA71-01A-31R-A39I-07,open,86865850-1b95-41cc-a0ce-22b2bcaa1d22.htseq.counts.gz,86865850-1b95-41cc-a0ce-22b2bcaa1d22_count,Transcriptome Profiling,gene_expression,2016-05-26T21:22:07.230691-05:00,247427,2018-09-05T23:27:38.507030-05:00,0872502fde28b41878933e5169966dea,8c17f57e-6790-4122-a75c-c510c0508db4,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-BLCA,d141c92e-ddc4-4513-b0a0-00c3db5e9572,released,86865850-1b95-41cc-a0ce-22b2bcaa1d22_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-DK-AA71,TCGA-DK-AA71-01A
a6ffc7ec-8dbc-489d-90d7-4b76ce7f06d4,TXT,TCGA-4Z-AA83-01A-11R-A39I-07,open,7d74dfd7-8884-42ae-8bf8-b39dfbc2bbae.htseq.counts.gz,7d74dfd7-8884-42ae-8bf8-b39dfbc2bbae_count,Transcriptome Profiling,gene_expression,2016-05-30T18:23:27.522580-05:00,247749,2018-09-05T23:27:38.507030-05:00,83ef1d72398bb51dba9e74a939bd0a79,a6ffc7ec-8dbc-489d-90d7-4b76ce7f06d4,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-BLCA,6ee7de77-0700-41b5-93ae-1ce968e66b37,released,7d74dfd7-8884-42ae-8bf8-b39dfbc2bbae_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-4Z-AA83,TCGA-4Z-AA83-01A
8a37a985-f6f6-45d6-99db-1ddc3c195cbc,TXT,TCGA-ZF-A9R4-01A-11R-A38B-07,open,9b383e44-11a8-463f-b3dc-a38e1d87e341.htseq.counts.gz,9b383e44-11a8-463f-b3dc-a38e1d87e341_count,Transcriptome Profiling,gene_expression,2016-05-29T10:12:16.229644-05:00,250696,2018-09-05T23:27:38.507030-05:00,a37b63e2cf2535bf622f75ba97d74a8c,8a37a985-f6f6-45d6-99db-1ddc3c195cbc,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-BLCA,d9cfb536-fd0b-43bd-b0a9-d8a3573c3f4d,released,9b383e44-11a8-463f-b3dc-a38e1d87e341_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-ZF-A9R4,TCGA-ZF-A9R4-01A
