id,data_format,access,cases,file_name,data_category,submitter_id,type,created_datetime,file_size,md5sum,updated_datetime,file_id,data_type,state,experimental_strategy,version,data_release,project,analysis_id,analysis_state,analysis_submitter_id,analysis_workflow_link,analysis_workflow_type,analysis_workflow_version,sample_type,is_ffpe,cases.submitter_id,sample.submitter_id
dce06602-a4bc-4103-915a-c9475f157006,TXT,open,TCGA-C8-A278-01A-11R-A169-07,a8a58442-78f5-4876-b25e-c04339eb6f26.htseq.counts.gz,Transcriptome Profiling,a8a58442-78f5-4876-b25e-c04339eb6f26_count,gene_expression,2016-05-29T10:39:41.964707-05:00,254645,fca112a725c38610522bc655ac684f32,2018-09-06T13:49:20.245333-05:00,dce06602-a4bc-4103-915a-c9475f157006,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-BRCA,bb26085d-cc3b-4bfe-a8ed-b588944ddcf8,released,a8a58442-78f5-4876-b25e-c04339eb6f26_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-C8-A278,TCGA-C8-A278-01A
5395a29c-2349-44c1-bd68-b3989d4799b2,TXT,open,TCGA-A7-A425-01A-11R-A24H-07,3c631c4d-ec26-4f29-abcb-bed2221f3da5.htseq.counts.gz,Transcriptome Profiling,3c631c4d-ec26-4f29-abcb-bed2221f3da5_count,gene_expression,2016-05-30T18:38:57.541765-05:00,255883,fdf7bde07cce393de2da8a12f0d8ea3b,2018-09-06T13:49:20.245333-05:00,5395a29c-2349-44c1-bd68-b3989d4799b2,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-BRCA,d679205d-2d2c-49e6-90a3-0bebfca69450,released,3c631c4d-ec26-4f29-abcb-bed2221f3da5_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-A7-A425,TCGA-A7-A425-01A
aad765b7-ce4e-4c72-8518-3aff0dced551,TXT,open,TCGA-E2-A15H-01A-11R-A12D-07,1c903a79-fbee-47a4-8847-79d9242a2fcf.htseq.counts.gz,Transcriptome Profiling,1c903a79-fbee-47a4-8847-79d9242a2fcf_count,gene_expression,2016-05-29T10:30:33.141448-05:00,253997,7b2920b2127300d966e21a7028f13145,2018-09-06T13:49:20.245333-05:00,aad765b7-ce4e-4c72-8518-3aff0dced551,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-BRCA,7a0f01fa-4099-4c8a-bdbf-5804e58c843b,released,1c903a79-fbee-47a4-8847-79d9242a2fcf_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-E2-A15H,TCGA-E2-A15H-01A
0cbfcb99-93ca-46bb-ab4d-3dcccee62cd0,TXT,open,TCGA-A8-A06N-01A-11R-A00Z-07,ca5d0721-99cf-4b7c-b708-6acea2ae86bd.htseq.counts.gz,Transcriptome Profiling,ca5d0721-99cf-4b7c-b708-6acea2ae86bd_count,gene_expression,2016-05-29T10:14:17.174805-05:00,257633,7bb6b9ff7508d4a36224b2c7d1275a95,2018-09-06T13:49:20.245333-05:00,0cbfcb99-93ca-46bb-ab4d-3dcccee62cd0,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-BRCA,7493c0b1-391e-40e2-8295-ac5a77ed0603,released,ca5d0721-99cf-4b7c-b708-6acea2ae86bd_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-A8-A06N,TCGA-A8-A06N-01A
2edb7e13-2356-4654-a324-6c032ec2acd4,TXT,open,TCGA-E2-A570-01A-11R-A29R-07,47af78ae-c41a-401f-a88b-d7e35831f816.htseq.counts.gz,Transcriptome Profiling,47af78ae-c41a-401f-a88b-d7e35831f816_count,gene_expression,2016-05-30T18:49:51.340869-05:00,253161,8986e6519934a343d7631cd5432844f8,2018-09-06T13:49:20.245333-05:00,2edb7e13-2356-4654-a324-6c032ec2acd4,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-BRCA,83eef5be-eb94-475c-a1b2-b0c3794ae49f,released,47af78ae-c41a-401f-a88b-d7e35831f816_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-E2-A570,TCGA-E2-A570-01A
044af24d-3c91-41f3-a93f-12e805b08d2e,TXT,open,TCGA-BH-A1FL-01A-11R-A13Q-07,b02d1d2d-13e3-4246-ba2f-ae22d934c776.htseq.counts.gz,Transcriptome Profiling,b02d1d2d-13e3-4246-ba2f-ae22d934c776_count,gene_expression,2016-05-26T21:15:29.373344-05:00,257360,a08f87fe0c7d0f7d43a76788290ef7a8,2018-09-06T13:49:20.245333-05:00,044af24d-3c91-41f3-a93f-12e805b08d2e,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-BRCA,5217a85a-db2e-4d37-8c99-2bcd22415b6c,released,b02d1d2d-13e3-4246-ba2f-ae22d934c776_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-BH-A1FL,TCGA-BH-A1FL-01A
01c84d3b-497e-41e3-86d4-e3cb6021c8bd,TXT,open,TCGA-E2-A56Z-01A-12R-A29R-07,39d6716f-d898-494e-9f41-7972de1e6670.htseq.counts.gz,Transcriptome Profiling,39d6716f-d898-494e-9f41-7972de1e6670_count,gene_expression,2016-05-29T10:21:29.302674-05:00,252810,b32f6305861346ca0c980fb439ad6edf,2018-09-06T13:49:20.245333-05:00,01c84d3b-497e-41e3-86d4-e3cb6021c8bd,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-BRCA,aba238ae-2e62-4e2e-a9f8-6b4f37767c07,released,39d6716f-d898-494e-9f41-7972de1e6670_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-E2-A56Z,TCGA-E2-A56Z-01A
35ce1a61-7720-42d9-8c73-2a197c3e230f,TXT,open,TCGA-E9-A1RI-01A-11R-A169-07,41f9bceb-88d0-44ae-9eab-6ff9a6484e93.htseq.counts.gz,Transcriptome Profiling,41f9bceb-88d0-44ae-9eab-6ff9a6484e93_count,gene_expression,2016-05-29T11:08:40.286024-05:00,257587,7601b938814f83c8f333c188158dfec2,2018-09-06T13:49:20.245333-05:00,35ce1a61-7720-42d9-8c73-2a197c3e230f,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-BRCA,fbd17524-f367-4c87-9fae-c880317a56f2,released,41f9bceb-88d0-44ae-9eab-6ff9a6484e93_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-E9-A1RI,TCGA-E9-A1RI-01A
8525eb14-c1a7-421d-86a3-93fac9ece99f,TXT,open,TCGA-BH-A0DP-01A-21R-A056-07,7e56863a-53f2-4c94-9cf0-053d72b4d5ee.htseq.counts.gz,Transcriptome Profiling,7e56863a-53f2-4c94-9cf0-053d72b4d5ee_count,gene_expression,2016-05-26T21:15:09.582825-05:00,253333,717d7394c4c23003fbf8f4baed034cb9,2018-09-06T13:49:20.245333-05:00,8525eb14-c1a7-421d-86a3-93fac9ece99f,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-BRCA,b989a51a-6c91-41ea-8f58-0c5e79b2b4de,released,7e56863a-53f2-4c94-9cf0-053d72b4d5ee_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-BH-A0DP,TCGA-BH-A0DP-01A
f158928a-68de-4da2-8817-db058cd98f8c,TXT,open,TCGA-AR-A0U3-01A-11R-A109-07,b4106436-0adf-4e37-b006-189aec892562.htseq.counts.gz,Transcriptome Profiling,b4106436-0adf-4e37-b006-189aec892562_count,gene_expression,2016-05-30T18:45:43.659547-05:00,248992,cd84bb800b2b4a6cf8de918a7ba62bb9,2018-09-06T13:49:20.245333-05:00,f158928a-68de-4da2-8817-db058cd98f8c,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-BRCA,f6d9c357-df27-4534-bbc6-b1add9213323,released,b4106436-0adf-4e37-b006-189aec892562_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-AR-A0U3,TCGA-AR-A0U3-01A
fe04d4a7-3199-4a3c-8fa7-52f6372bdeaf,TXT,open,TCGA-BH-A18L-01A-32R-A12D-07,5bc7e90d-0fa4-4bde-bee8-4f9b92de03a2.htseq.counts.gz,Transcriptome Profiling,5bc7e90d-0fa4-4bde-bee8-4f9b92de03a2_count,gene_expression,2016-05-30T18:33:09.310620-05:00,252737,20b904372ba35177015f21d9de0c861f,2018-09-06T13:49:20.245333-05:00,fe04d4a7-3199-4a3c-8fa7-52f6372bdeaf,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-BRCA,df9beb49-a78b-45e8-8816-6fc7fc5aa53a,released,5bc7e90d-0fa4-4bde-bee8-4f9b92de03a2_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-BH-A18L,TCGA-BH-A18L-01A
bb7e8319-d99a-45c5-be2a-1ece9103718b,TXT,open,TCGA-E9-A1NA-11A-33R-A144-07,327a6650-be57-412e-bc3a-3aaf68d44022.htseq.counts.gz,Transcriptome Profiling,327a6650-be57-412e-bc3a-3aaf68d44022_count,gene_expression,2016-05-29T10:56:50.222015-05:00,254423,e6771178b5c7aa073954158f0c417d01,2018-09-06T13:49:20.245333-05:00,bb7e8319-d99a-45c5-be2a-1ece9103718b,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-BRCA,a3d1961c-b3be-48ad-9b0d-2258a1651db6,released,327a6650-be57-412e-bc3a-3aaf68d44022_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Solid Tissue Normal,FALSE,TCGA-E9-A1NA,TCGA-E9-A1NA-11A
