id,data_format,cases,access,file_name,submitter_id,data_category,type,created_datetime,file_size,updated_datetime,md5sum,file_id,data_type,state,experimental_strategy,version,data_release,project,analysis_id,analysis_state,analysis_submitter_id,analysis_workflow_link,analysis_workflow_type,analysis_workflow_version,sample_type,is_ffpe,cases.submitter_id,sample.submitter_id
8d8b0e13-fb54-45fe-855e-718dbf3bc219,TXT,TCGA-FF-8046-01A-11R-2213-07,open,ce79c39f-0752-4789-a46e-dde431b886da.htseq.counts.gz,ce79c39f-0752-4789-a46e-dde431b886da_count,Transcriptome Profiling,gene_expression,2016-05-29T10:40:50.195814-05:00,246274,2018-09-05T23:16:44.256895-05:00,7dd6c5e9bc20a31c1eee57e7a7c24703,8d8b0e13-fb54-45fe-855e-718dbf3bc219,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-DLBC,42482c0f-a453-42f4-bdc7-5bbbc06ac33f,released,ce79c39f-0752-4789-a46e-dde431b886da_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-FF-8046,TCGA-FF-8046-01A
dc9385d3-dafc-4145-9683-ec715e7a6187,TXT,TCGA-GR-A4D4-01A-11R-A31O-07,open,d5b2e114-df2a-4c4f-acf7-3452392d2e18.htseq.counts.gz,d5b2e114-df2a-4c4f-acf7-3452392d2e18_count,Transcriptome Profiling,gene_expression,2016-05-29T11:05:25.962641-05:00,255222,2018-09-05T23:16:44.256895-05:00,80ceee32b0306ecdcbef299eaedcb68b,dc9385d3-dafc-4145-9683-ec715e7a6187,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-DLBC,2f5d9569-22d9-41c8-9ab8-b28a09c5bb98,released,d5b2e114-df2a-4c4f-acf7-3452392d2e18_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-GR-A4D4,TCGA-GR-A4D4-01A
0f9cb6aa-0723-4c9c-9f6b-b933fc1f1255,TXT,TCGA-GR-7353-01A-11R-2213-07,open,af0f8db0-a63b-46c5-8b91-f8f02784f7b0.htseq.counts.gz,af0f8db0-a63b-46c5-8b91-f8f02784f7b0_count,Transcriptome Profiling,gene_expression,2016-05-30T18:44:48.097790-05:00,248196,2018-09-05T23:16:44.256895-05:00,32c7d4682d15b30dc7d9b9e8b0bb93af,0f9cb6aa-0723-4c9c-9f6b-b933fc1f1255,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-DLBC,79b635a7-b1dd-4ad5-8458-cbf635bb1aa4,released,af0f8db0-a63b-46c5-8b91-f8f02784f7b0_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-GR-7353,TCGA-GR-7353-01A
32353f8c-7418-491f-8909-5ed863459f07,TXT,TCGA-GR-A4D9-01B-11R-A31O-07,open,c6d57de1-880e-4a86-89cb-95096001f00a.htseq.counts.gz,c6d57de1-880e-4a86-89cb-95096001f00a_count,Transcriptome Profiling,gene_expression,2016-05-29T10:36:01.364705-05:00,253366,2018-09-05T23:16:44.256895-05:00,f4481d4eac7a518668e90ce4a7fa780d,32353f8c-7418-491f-8909-5ed863459f07,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-DLBC,0f22ff5d-eea9-438e-87e5-a313cc5920e6,released,c6d57de1-880e-4a86-89cb-95096001f00a_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-GR-A4D9,TCGA-GR-A4D9-01B
24265fc7-42a8-4cc4-bcc8-36979ccdc51b,TXT,TCGA-FF-8062-01A-11R-2213-07,open,e703c136-c6c9-4173-b7bc-0d7aea750950.htseq.counts.gz,e703c136-c6c9-4173-b7bc-0d7aea750950_count,Transcriptome Profiling,gene_expression,2016-05-26T21:12:13.180094-05:00,248113,2018-09-05T23:16:44.256895-05:00,42e50e5088d2f5ecf127bc63ed9447d0,24265fc7-42a8-4cc4-bcc8-36979ccdc51b,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-DLBC,bced6e1a-a26a-4c16-abfc-16adf1797f57,released,e703c136-c6c9-4173-b7bc-0d7aea750950_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-FF-8062,TCGA-FF-8062-01A
fc613497-afd8-45c0-9efd-8021a4ba85d8,TXT,TCGA-GS-A9TT-01A-11R-A38C-07,open,19877f23-cba6-4720-acb5-fcd5cd783495.htseq.counts.gz,19877f23-cba6-4720-acb5-fcd5cd783495_count,Transcriptome Profiling,gene_expression,2016-05-29T10:10:11.757432-05:00,251893,2018-09-05T23:16:44.256895-05:00,11fbfc71fea491d75a8a1b96c82457b7,fc613497-afd8-45c0-9efd-8021a4ba85d8,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-DLBC,5fe83dc1-9a1d-4aaf-9d6e-4539a558f7d6,released,19877f23-cba6-4720-acb5-fcd5cd783495_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-GS-A9TT,TCGA-GS-A9TT-01A
4511cef4-26fe-42c4-beab-d496de657080,TXT,TCGA-FA-A82F-01A-11R-A38C-07,open,e40eab4d-a15e-4d00-8d31-72c750fc5784.htseq.counts.gz,e40eab4d-a15e-4d00-8d31-72c750fc5784_count,Transcriptome Profiling,gene_expression,2016-05-29T11:14:13.180039-05:00,248661,2018-09-05T23:16:44.256895-05:00,ebb3b38af844e716a8f92295403c5d2e,4511cef4-26fe-42c4-beab-d496de657080,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-DLBC,12248f55-ca2e-455c-b83d-13baaaadfde0,released,e40eab4d-a15e-4d00-8d31-72c750fc5784_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-FA-A82F,TCGA-FA-A82F-01A
315f176e-0a9f-47ae-a905-321eaae91d92,TXT,TCGA-VB-A8QN-01A-11R-A38C-07,open,10f2cac6-6c82-42fa-9916-4a3e370241ba.htseq.counts.gz,10f2cac6-6c82-42fa-9916-4a3e370241ba_count,Transcriptome Profiling,gene_expression,2016-05-30T18:37:39.755574-05:00,248806,2018-09-05T23:16:44.256895-05:00,69f6ed23efa21aa5637c05719c4f27f1,315f176e-0a9f-47ae-a905-321eaae91d92,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-DLBC,11b1639f-5959-4808-b8a0-e30e7c205619,released,10f2cac6-6c82-42fa-9916-4a3e370241ba_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-VB-A8QN,TCGA-VB-A8QN-01A
3835c164-61da-47df-9216-2c4146a43943,TXT,TCGA-FF-8042-01A-11R-2213-07,open,b5dd2886-be09-438c-9b24-3cb5e67df4a7.htseq.counts.gz,b5dd2886-be09-438c-9b24-3cb5e67df4a7_count,Transcriptome Profiling,gene_expression,2016-05-30T18:59:50.730914-05:00,246366,2018-09-05T23:16:44.256895-05:00,b5ea6c6e85ca04bf0b09fe58146ee711,3835c164-61da-47df-9216-2c4146a43943,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-DLBC,855a0776-5dbd-4dc5-8732-a1f2632062ac,released,b5dd2886-be09-438c-9b24-3cb5e67df4a7_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-FF-8042,TCGA-FF-8042-01A
c823ae23-48b5-4350-84e5-d85da774af92,TXT,TCGA-FF-A7CQ-01A-11R-A38C-07,open,86e41aff-7da3-4670-94e1-30faaa42e42e.htseq.counts.gz,86e41aff-7da3-4670-94e1-30faaa42e42e_count,Transcriptome Profiling,gene_expression,2016-05-30T19:02:38.510502-05:00,251136,2018-09-05T23:16:44.256895-05:00,a74ce8cc856a522619b9f7bfb37fbf0e,c823ae23-48b5-4350-84e5-d85da774af92,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-DLBC,697978a3-b236-4b29-b22e-343cd8640a39,released,86e41aff-7da3-4670-94e1-30faaa42e42e_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-FF-A7CQ,TCGA-FF-A7CQ-01A
