id,data_format,cases,access,file_name,submitter_id,data_category,type,created_datetime,file_size,updated_datetime,md5sum,file_id,data_type,state,experimental_strategy,version,data_release,project,analysis_id,analysis_state,analysis_submitter_id,analysis_workflow_link,analysis_workflow_type,analysis_workflow_version,sample_type,is_ffpe,cases.submitter_id,sample.submitter_id
c7eaeca6-8c04-44e8-b47a-06136d2ad4d5,TXT,TCGA-KL-8324-11A-01R-2315-07,open,4f88e9ec-6fa0-40b5-b532-02453e5b2488.htseq.counts.gz,4f88e9ec-6fa0-40b5-b532-02453e5b2488_count,Transcriptome Profiling,gene_expression,2016-05-26T21:08:10.012591-05:00,256161,2018-09-06T16:17:38.002079-05:00,c54c9fb7d3e95374e72a1c3bfedbce3b,c7eaeca6-8c04-44e8-b47a-06136d2ad4d5,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-KICH,606f30a1-a6f6-4617-a1d1-b74bde2b0c9c,released,4f88e9ec-6fa0-40b5-b532-02453e5b2488_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Solid Tissue Normal,FALSE,TCGA-KL-8324,TCGA-KL-8324-11A
6b12f13e-77e1-42a2-9b8f-9f1746881d8b,TXT,TCGA-KM-8441-01A-11R-2315-07,open,aad4394b-9461-4fda-a23a-f9a61541d674.htseq.counts.gz,aad4394b-9461-4fda-a23a-f9a61541d674_count,Transcriptome Profiling,gene_expression,2016-05-30T19:01:17.190077-05:00,250342,2018-09-06T16:17:38.002079-05:00,0aa0138c6554933a2ae0f5ca787f9655,6b12f13e-77e1-42a2-9b8f-9f1746881d8b,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-KICH,92523823-389d-4f82-88cc-3072a708e5cc,released,aad4394b-9461-4fda-a23a-f9a61541d674_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-KM-8441,TCGA-KM-8441-01A
96048ab8-66ea-4b36-a619-6c6097979c58,TXT,TCGA-KN-8422-11A-01R-2315-07,open,89176c28-3479-43c6-97f7-64717e5182aa.htseq.counts.gz,89176c28-3479-43c6-97f7-64717e5182aa_count,Transcriptome Profiling,gene_expression,2016-05-29T10:24:12.215600-05:00,257420,2018-09-06T16:17:38.002079-05:00,59776ff5ef978c3a905b0c9cd82abc18,96048ab8-66ea-4b36-a619-6c6097979c58,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-KICH,405b467f-00f1-4a94-bd30-a84f1d5e772f,released,89176c28-3479-43c6-97f7-64717e5182aa_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Solid Tissue Normal,FALSE,TCGA-KN-8422,TCGA-KN-8422-11A
e013d333-8012-400b-a740-9b900a910676,TXT,TCGA-KM-8442-01A-11R-2315-07,open,f50e52a0-e0d6-446a-91c2-19664a38c6b7.htseq.counts.gz,f50e52a0-e0d6-446a-91c2-19664a38c6b7_count,Transcriptome Profiling,gene_expression,2016-05-29T10:18:19.281131-05:00,253266,2018-09-06T16:17:38.002079-05:00,7a0601e4e928d0e77b49694d9d25accc,e013d333-8012-400b-a740-9b900a910676,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-KICH,296bc517-25e5-43e4-9f14-7d061ba5b473,released,f50e52a0-e0d6-446a-91c2-19664a38c6b7_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-KM-8442,TCGA-KM-8442-01A
50b44a8c-3bd1-41f6-a529-778314e1eb89,TXT,TCGA-KO-8415-11A-01R-2315-07,open,2f16473e-d78a-4a7d-96d9-e5bec06c37b6.htseq.counts.gz,2f16473e-d78a-4a7d-96d9-e5bec06c37b6_count,Transcriptome Profiling,gene_expression,2016-05-30T19:06:02.609164-05:00,253401,2018-09-06T16:17:38.002079-05:00,d2b36cd26401cc7b85cf9c155a862059,50b44a8c-3bd1-41f6-a529-778314e1eb89,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-KICH,e7be3cbb-4813-4aa4-b9d3-5c4c6ef3f7bb,released,2f16473e-d78a-4a7d-96d9-e5bec06c37b6_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Solid Tissue Normal,FALSE,TCGA-KO-8415,TCGA-KO-8415-11A
e4dae4c8-f010-4b81-b1fe-412ba087d56b,TXT,TCGA-KL-8346-01A-11R-2315-07,open,69d4e5d4-0d59-4720-8501-4a9020caa2d3.htseq.counts.gz,69d4e5d4-0d59-4720-8501-4a9020caa2d3_count,Transcriptome Profiling,gene_expression,2016-05-30T18:34:53.295334-05:00,250198,2018-09-06T16:17:38.002079-05:00,08b1b3b60ab40c10cdb92bcc62383a52,e4dae4c8-f010-4b81-b1fe-412ba087d56b,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-KICH,fb2a9906-ca14-47dc-9161-b181eded3e00,released,69d4e5d4-0d59-4720-8501-4a9020caa2d3_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-KL-8346,TCGA-KL-8346-01A
861bc99c-99f0-479b-bada-be11f68026c7,TXT,TCGA-KL-8339-01A-11R-2315-07,open,50eaccac-d887-48b3-abbe-12326fb84888.htseq.counts.gz,50eaccac-d887-48b3-abbe-12326fb84888_count,Transcriptome Profiling,gene_expression,2016-05-29T11:11:26.967776-05:00,251060,2018-09-06T16:17:38.002079-05:00,01cc47e47523f9bf48643fa3212aef98,861bc99c-99f0-479b-bada-be11f68026c7,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-KICH,f6797c8e-079b-40af-b7af-e374d37bf7cf,released,50eaccac-d887-48b3-abbe-12326fb84888_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-KL-8339,TCGA-KL-8339-01A
b6b58a5e-dd33-4a49-87cd-d1f80f24e862,TXT,TCGA-KO-8416-01A-11R-2315-07,open,8f03eded-6adf-4b8e-97d8-91a26f584d9c.htseq.counts.gz,8f03eded-6adf-4b8e-97d8-91a26f584d9c_count,Transcriptome Profiling,gene_expression,2016-05-26T21:12:16.484277-05:00,249067,2018-09-06T16:17:38.002079-05:00,11a9308b47955e86d01ab2e813bf6360,b6b58a5e-dd33-4a49-87cd-d1f80f24e862,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-KICH,6ec6166e-3423-483c-adb8-007f90203cc6,released,8f03eded-6adf-4b8e-97d8-91a26f584d9c_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-KO-8416,TCGA-KO-8416-01A
84073347-aeea-4691-b2b3-cd13beacb811,TXT,TCGA-KN-8435-11A-01R-2315-07,open,229938c3-8394-4710-a806-7c2dd3e6c66d.htseq.counts.gz,229938c3-8394-4710-a806-7c2dd3e6c66d_count,Transcriptome Profiling,gene_expression,2016-05-30T19:00:59.788726-05:00,257547,2018-09-06T16:17:38.002079-05:00,d7f5de2bce8bb187737bfb9f9f1039a3,84073347-aeea-4691-b2b3-cd13beacb811,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-KICH,cfc4c10a-26dd-4b74-8c29-2b611da2d947,released,229938c3-8394-4710-a806-7c2dd3e6c66d_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Solid Tissue Normal,FALSE,TCGA-KN-8435,TCGA-KN-8435-11A
5a70e4d5-bedf-4921-9080-341710934531,TXT,TCGA-KN-8425-11A-01R-2315-07,open,2a8baa55-f7f6-43a0-bed3-491b3e3f9399.htseq.counts.gz,2a8baa55-f7f6-43a0-bed3-491b3e3f9399_count,Transcriptome Profiling,gene_expression,2016-05-30T18:49:00.191643-05:00,257511,2018-09-06T16:17:38.002079-05:00,2cb05578a441b84c7151d2b3265032b0,5a70e4d5-bedf-4921-9080-341710934531,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-KICH,7473d989-54a8-4d0d-a766-eb28ac5b46c1,released,2a8baa55-f7f6-43a0-bed3-491b3e3f9399_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Solid Tissue Normal,FALSE,TCGA-KN-8425,TCGA-KN-8425-11A
