id,data_format,cases,access,file_name,submitter_id,data_category,type,created_datetime,file_size,updated_datetime,md5sum,file_id,data_type,state,experimental_strategy,version,data_release,project,analysis_id,analysis_state,analysis_submitter_id,analysis_workflow_link,analysis_workflow_type,analysis_workflow_version,sample_type,is_ffpe,cases.submitter_id,sample.submitter_id
a2da0c73-26f8-41ca-8f89-36612eece4b3,TXT,TCGA-DW-7841-01A-11R-A32Z-07,open,d48d198d-fec1-4a92-9822-b03d77c8ea37.htseq.counts.gz,d48d198d-fec1-4a92-9822-b03d77c8ea37_count,Transcriptome Profiling,gene_expression,2016-05-29T11:07:30.708867-05:00,256875,2018-09-05T19:47:24.014003-05:00,090b06346057256c26bf9b9c13abdfca,a2da0c73-26f8-41ca-8f89-36612eece4b3,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-KIRP,1cfb15e6-62ab-4c72-8cdc-84eef0358d6e,released,d48d198d-fec1-4a92-9822-b03d77c8ea37_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-DW-7841,TCGA-DW-7841-01A
8e994ca2-33c6-4ff3-9028-caaee46b93c9,TXT,TCGA-5P-A9K9-01A-11R-A42S-07,open,e9cf91c3-db89-4855-9d40-d66f9fb49225.htseq.counts.gz,e9cf91c3-db89-4855-9d40-d66f9fb49225_count,Transcriptome Profiling,gene_expression,2016-05-30T19:05:00.427801-05:00,249971,2018-09-05T19:47:24.014003-05:00,4768b51c8d570caf4605ab89988040ba,8e994ca2-33c6-4ff3-9028-caaee46b93c9,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-KIRP,e7b27a9f-6ef0-486c-b307-656b81db37bf,released,e9cf91c3-db89-4855-9d40-d66f9fb49225_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-5P-A9K9,TCGA-5P-A9K9-01A
33120866-dff5-41a1-b01f-195c1eb714ca,TXT,TCGA-BQ-7045-01A-31R-1965-07,open,c108fd9d-d117-41fb-9b5d-5eff76751837.htseq.counts.gz,c108fd9d-d117-41fb-9b5d-5eff76751837_count,Transcriptome Profiling,gene_expression,2016-05-29T10:07:13.131845-05:00,241843,2018-09-05T19:47:24.014003-05:00,96846df732c76aa95fdad889155b40ae,33120866-dff5-41a1-b01f-195c1eb714ca,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-KIRP,f422c8e4-7e8d-4698-a047-2a2d47843d1d,released,c108fd9d-d117-41fb-9b5d-5eff76751837_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-BQ-7045,TCGA-BQ-7045-01A
46218c3d-5a37-4b18-b2cc-48ad7a809e73,TXT,TCGA-A4-A57E-11A-11R-A26U-07,open,88306ab3-264f-4e3f-8073-4d606b084ed2.htseq.counts.gz,88306ab3-264f-4e3f-8073-4d606b084ed2_count,Transcriptome Profiling,gene_expression,2016-05-29T11:05:32.674377-05:00,250889,2018-09-05T19:47:24.014003-05:00,9fe4fd92181662afe3ad6b4a7e703fc9,46218c3d-5a37-4b18-b2cc-48ad7a809e73,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-KIRP,cb27defc-6af8-47e6-a0e2-d909d7f5815e,released,88306ab3-264f-4e3f-8073-4d606b084ed2_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Solid Tissue Normal,FALSE,TCGA-A4-A57E,TCGA-A4-A57E-11A
c657e65c-57d3-4aeb-9ce0-7224afff7c2f,TXT,TCGA-GL-7773-01A-11R-A32Z-07,open,419e243f-d1b9-40a4-a164-b11aa2655f92.htseq.counts.gz,419e243f-d1b9-40a4-a164-b11aa2655f92_count,Transcriptome Profiling,gene_expression,2016-05-30T18:16:33.500180-05:00,253054,2018-09-05T19:47:24.014003-05:00,b543f57e5704d8431b6345a5e960076e,c657e65c-57d3-4aeb-9ce0-7224afff7c2f,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-KIRP,d1928e03-91ca-43de-821b-76db7a905d52,released,419e243f-d1b9-40a4-a164-b11aa2655f92_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-GL-7773,TCGA-GL-7773-01A
36ba4a3d-033f-4967-a43b-a4d34e6fc15c,TXT,TCGA-B1-A47O-01A-11R-A24Z-07,open,dfdb90e0-bcf1-4cc6-866e-d81cfc5d9039.htseq.counts.gz,dfdb90e0-bcf1-4cc6-866e-d81cfc5d9039_count,Transcriptome Profiling,gene_expression,2016-05-30T18:15:48.081499-05:00,250783,2018-09-05T19:47:24.014003-05:00,789f240a12402041084059349701f17f,36ba4a3d-033f-4967-a43b-a4d34e6fc15c,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-KIRP,f40eb5da-5f39-448e-8472-8182063d571d,released,dfdb90e0-bcf1-4cc6-866e-d81cfc5d9039_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-B1-A47O,TCGA-B1-A47O-01A
988e2e63-69ea-4ee5-959e-15c0fa15adec,TXT,TCGA-GL-A4EM-01A-11R-A24Z-07,open,162df6f6-1c8e-4929-9d4e-9d3c3d329d43.htseq.counts.gz,162df6f6-1c8e-4929-9d4e-9d3c3d329d43_count,Transcriptome Profiling,gene_expression,2016-05-26T21:26:44.565083-05:00,246382,2018-09-05T19:47:24.014003-05:00,56b88fb10b3101d0d2aa72f4620fd6d0,988e2e63-69ea-4ee5-959e-15c0fa15adec,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-KIRP,e1afe2ec-bc65-4964-9d4b-0b73a5c9e1ca,released,162df6f6-1c8e-4929-9d4e-9d3c3d329d43_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-GL-A4EM,TCGA-GL-A4EM-01A
a8aad501-dc36-4fec-961d-03868b49e260,TXT,TCGA-UZ-A9PZ-01A-11R-A42S-07,open,ac46a133-5c10-43e4-84b9-0cdcdaf5526e.htseq.counts.gz,ac46a133-5c10-43e4-84b9-0cdcdaf5526e_count,Transcriptome Profiling,gene_expression,2016-05-29T11:03:10.852447-05:00,250575,2018-09-05T19:47:24.014003-05:00,76903783f29f1584174e95b079b52239,a8aad501-dc36-4fec-961d-03868b49e260,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-KIRP,175564ef-e834-4e26-b2e0-3a9fe57d2b91,released,ac46a133-5c10-43e4-84b9-0cdcdaf5526e_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-UZ-A9PZ,TCGA-UZ-A9PZ-01A
e3aa33d3-5843-4db6-849b-712f41d1f3d4,TXT,TCGA-B9-A5W9-01A-11R-A28H-07,open,de0262c2-bccb-418d-acc3-4ce4afe3e78e.htseq.counts.gz,de0262c2-bccb-418d-acc3-4ce4afe3e78e_count,Transcriptome Profiling,gene_expression,2016-05-30T18:34:15.029593-05:00,254464,2018-09-05T19:47:24.014003-05:00,26c12a9d9ea9617046f17ffd7253d54f,e3aa33d3-5843-4db6-849b-712f41d1f3d4,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-KIRP,23e988e5-dd1f-4533-aa7a-c33834244b5f,released,de0262c2-bccb-418d-acc3-4ce4afe3e78e_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-B9-A5W9,TCGA-B9-A5W9-01A
d40f8ff5-756d-4868-b3d1-0ad8d857d02b,TXT,TCGA-DZ-6132-01A-11R-1965-07,open,85b1ee20-f35b-4d08-8072-f722edad2eef.htseq.counts.gz,85b1ee20-f35b-4d08-8072-f722edad2eef_count,Transcriptome Profiling,gene_expression,2016-05-29T10:50:40.253722-05:00,253866,2018-09-05T19:47:24.014003-05:00,e9bca9bb837edbc4273582c948621eaf,d40f8ff5-756d-4868-b3d1-0ad8d857d02b,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-KIRP,9c1a65c9-b563-4e9b-a422-9741c6116682,released,85b1ee20-f35b-4d08-8072-f722edad2eef_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-DZ-6132,TCGA-DZ-6132-01A
