id,data_format,cases,access,file_name,submitter_id,data_category,type,created_datetime,file_size,updated_datetime,md5sum,file_id,data_type,state,experimental_strategy,version,data_release,project,analysis_id,analysis_state,analysis_submitter_id,analysis_workflow_link,analysis_workflow_type,analysis_workflow_version,sample_type,is_ffpe,cases.submitter_id,sample.submitter_id
a2dc4c89-9ea1-4faa-b51e-914ef373f32e,TXT,TCGA-AB-2921-03A-01T-0740-13,open,fe4e1221-8143-485e-8010-87787d40fa95.htseq.counts.gz,fe4e1221-8143-485e-8010-87787d40fa95_count,Transcriptome Profiling,gene_expression,2016-05-30T18:48:30.988260-05:00,259750,2018-09-06T22:25:56.899712-05:00,ffa9fe4aca674478a590402f1471b24b,a2dc4c89-9ea1-4faa-b51e-914ef373f32e,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LAML,1c6d1e1b-71da-4909-ac8f-4e0183263a70,released,fe4e1221-8143-485e-8010-87787d40fa95_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Blood Derived Cancer - Peripheral Blood,FALSE,TCGA-AB-2921,TCGA-AB-2921-03A
5d138985-8a01-4a7f-8783-7c7440a6083a,TXT,TCGA-AB-2811-03B-01T-0760-13,open,ae0e2087-9667-4429-a2b5-5f2359bee3fd.htseq.counts.gz,ae0e2087-9667-4429-a2b5-5f2359bee3fd_count,Transcriptome Profiling,gene_expression,2016-05-30T18:25:06.409821-05:00,254256,2018-09-06T22:25:56.899712-05:00,e7fa1221fa6a41a6adc4bd84270f845b,5d138985-8a01-4a7f-8783-7c7440a6083a,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LAML,4a8c2389-9f39-4705-b250-680e15bbe323,released,ae0e2087-9667-4429-a2b5-5f2359bee3fd_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Blood Derived Cancer - Peripheral Blood,FALSE,TCGA-AB-2811,TCGA-AB-2811-03B
3317b546-5f56-4511-b8fa-fa8cda4d7705,TXT,TCGA-AB-2851-03A-01T-0736-13,open,8c072808-4752-423a-b3ff-9b2ebe356f88.htseq.counts.gz,8c072808-4752-423a-b3ff-9b2ebe356f88_count,Transcriptome Profiling,gene_expression,2016-05-30T18:23:32.297982-05:00,256989,2018-09-06T22:25:56.899712-05:00,7e823cad513440796f2c91fb3de45271,3317b546-5f56-4511-b8fa-fa8cda4d7705,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LAML,c70b5c12-0db7-4333-bef3-88cba4494087,released,8c072808-4752-423a-b3ff-9b2ebe356f88_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Blood Derived Cancer - Peripheral Blood,FALSE,TCGA-AB-2851,TCGA-AB-2851-03A
c1715539-f4f9-4ce0-8e85-04b24f753bd7,TXT,TCGA-AB-2867-03A-01T-0734-13,open,ce4f46a0-e117-4cac-b0d4-4195f806c523.htseq.counts.gz,ce4f46a0-e117-4cac-b0d4-4195f806c523_count,Transcriptome Profiling,gene_expression,2016-05-29T10:51:09.077795-05:00,257497,2018-09-06T22:25:56.899712-05:00,06da60b698e46b49d61d03298ecca8e0,c1715539-f4f9-4ce0-8e85-04b24f753bd7,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LAML,874a2cb9-7932-4123-a3d5-e65543a36592,released,ce4f46a0-e117-4cac-b0d4-4195f806c523_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Blood Derived Cancer - Peripheral Blood,FALSE,TCGA-AB-2867,TCGA-AB-2867-03A
6571b5b8-f5a6-4037-b68a-1e0ec6a2337a,TXT,TCGA-AB-2853-03A-01T-0734-13,open,efa08bf5-7a5e-43f5-a33d-9839d54a4561.htseq.counts.gz,efa08bf5-7a5e-43f5-a33d-9839d54a4561_count,Transcriptome Profiling,gene_expression,2016-05-30T18:35:32.470475-05:00,259352,2018-09-06T22:25:56.899712-05:00,86990a3c93872be77d559781eb1894fc,6571b5b8-f5a6-4037-b68a-1e0ec6a2337a,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LAML,af5c1365-2050-498a-908b-682041f5442c,released,efa08bf5-7a5e-43f5-a33d-9839d54a4561_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Blood Derived Cancer - Peripheral Blood,FALSE,TCGA-AB-2853,TCGA-AB-2853-03A
75c6d838-ae98-4c7b-993b-cd7dbdfb3357,TXT,TCGA-AB-2885-03A-01T-0735-13,open,3a131132-d59a-4df3-b335-642f24e09097.htseq.counts.gz,3a131132-d59a-4df3-b335-642f24e09097_count,Transcriptome Profiling,gene_expression,2016-05-26T21:19:43.661411-05:00,257563,2018-09-06T22:25:56.899712-05:00,32da94efef6f847b372581cd5390fa2c,75c6d838-ae98-4c7b-993b-cd7dbdfb3357,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LAML,e21a8479-8db8-459e-be63-88942019172b,released,3a131132-d59a-4df3-b335-642f24e09097_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Blood Derived Cancer - Peripheral Blood,FALSE,TCGA-AB-2885,TCGA-AB-2885-03A
d889983b-d44e-4d16-a645-69f91c9e1482,TXT,TCGA-AB-2810-03A-01T-0736-13,open,5b6de027-6aae-43b9-a807-e30b3ddcf923.htseq.counts.gz,5b6de027-6aae-43b9-a807-e30b3ddcf923_count,Transcriptome Profiling,gene_expression,2016-05-29T10:45:52.479534-05:00,251297,2018-09-06T22:25:56.899712-05:00,66a32ce8fb03959f1c95514c7700e5b3,d889983b-d44e-4d16-a645-69f91c9e1482,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LAML,3c74a970-ba1c-4f07-b2e1-5e9b68c3dbf3,released,5b6de027-6aae-43b9-a807-e30b3ddcf923_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Blood Derived Cancer - Peripheral Blood,FALSE,TCGA-AB-2810,TCGA-AB-2810-03A
baa2ff0e-a0df-4ca5-87b6-555b9724118e,TXT,TCGA-AB-2910-03A-01T-0740-13,open,e5eaf6e2-a516-4d1c-9410-5026118f6f71.htseq.counts.gz,e5eaf6e2-a516-4d1c-9410-5026118f6f71_count,Transcriptome Profiling,gene_expression,2016-05-29T10:23:17.570705-05:00,258079,2018-09-06T22:25:56.899712-05:00,2f8df01dca5facaf4de1509f41885485,baa2ff0e-a0df-4ca5-87b6-555b9724118e,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LAML,df28f420-fbd7-498d-8b3b-541231addff2,released,e5eaf6e2-a516-4d1c-9410-5026118f6f71_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Blood Derived Cancer - Peripheral Blood,FALSE,TCGA-AB-2910,TCGA-AB-2910-03A
5a326ff8-d77b-428d-a9ad-5168d5b64059,TXT,TCGA-AB-2991-03A-01T-0735-13,open,8d216638-9503-4529-b1cc-7f3438607f52.htseq.counts.gz,8d216638-9503-4529-b1cc-7f3438607f52_count,Transcriptome Profiling,gene_expression,2016-05-26T21:25:02.096845-05:00,255931,2018-09-06T22:25:56.899712-05:00,fa41411d476633c7b2baa6b7fd435df2,5a326ff8-d77b-428d-a9ad-5168d5b64059,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LAML,71778305-11a1-42cd-94e6-506ce013b6f8,released,8d216638-9503-4529-b1cc-7f3438607f52_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Blood Derived Cancer - Peripheral Blood,FALSE,TCGA-AB-2991,TCGA-AB-2991-03A
32ac19a4-fe78-4281-99e5-b6978effd0e7,TXT,TCGA-AB-2883-03A-01T-0734-13,open,52cfdb4f-a5dc-41cd-8175-e64196099c69.htseq.counts.gz,52cfdb4f-a5dc-41cd-8175-e64196099c69_count,Transcriptome Profiling,gene_expression,2016-05-29T11:12:46.560556-05:00,258253,2018-09-06T22:25:56.899712-05:00,caee22aeced8c63af494a2b9b4faf0a0,32ac19a4-fe78-4281-99e5-b6978effd0e7,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LAML,69b2fc02-75d1-46de-ad86-b86245955fd1,released,52cfdb4f-a5dc-41cd-8175-e64196099c69_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Blood Derived Cancer - Peripheral Blood,FALSE,TCGA-AB-2883,TCGA-AB-2883-03A
3ae24866-258c-4f5f-817b-9e3501e3fa50,TXT,TCGA-AB-2933-03A-01T-0734-13,open,9b0d4e6c-3439-491f-8f9c-91a497de2c1e.htseq.counts.gz,9b0d4e6c-3439-491f-8f9c-91a497de2c1e_count,Transcriptome Profiling,gene_expression,2016-05-26T21:21:33.974979-05:00,259610,2018-09-06T22:25:56.899712-05:00,83eb94855a11458212583925333656cc,3ae24866-258c-4f5f-817b-9e3501e3fa50,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LAML,16ce13e8-30c2-4c12-9a4f-5de6b3c6ae97,released,9b0d4e6c-3439-491f-8f9c-91a497de2c1e_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Blood Derived Cancer - Peripheral Blood,FALSE,TCGA-AB-2933,TCGA-AB-2933-03A
