id,data_format,cases,access,file_name,submitter_id,data_category,type,created_datetime,file_size,updated_datetime,md5sum,file_id,data_type,state,experimental_strategy,version,data_release,project,analysis_id,analysis_state,analysis_submitter_id,analysis_workflow_link,analysis_workflow_type,analysis_workflow_version,sample_type,is_ffpe,cases.submitter_id,sample.submitter_id
b3313822-7e6a-42e3-bb5d-9eeb115e61de,TXT,TCGA-TQ-A7RO-01A-11R-A33Z-07,open,026a42e7-aae9-4d96-9e5a-e6159f94db11.htseq.counts.gz,026a42e7-aae9-4d96-9e5a-e6159f94db11_count,Transcriptome Profiling,gene_expression,2016-05-30T18:54:08.136339-05:00,253662,2018-09-06T19:04:21.476394-05:00,fb97f8143598720d4b516207b7fd4889,b3313822-7e6a-42e3-bb5d-9eeb115e61de,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LGG,f4b7e4ad-4c2e-41c2-8a47-2c4c6202e567,released,026a42e7-aae9-4d96-9e5a-e6159f94db11_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-TQ-A7RO,TCGA-TQ-A7RO-01A
c3fc456a-7ee1-403d-b129-1802ceecee46,TXT,TCGA-CS-6670-01A-11R-1896-07,open,792fab13-a7a6-4b1f-be25-b4fd3db15ed2.htseq.counts.gz,792fab13-a7a6-4b1f-be25-b4fd3db15ed2_count,Transcriptome Profiling,gene_expression,2016-05-29T10:37:04.263108-05:00,254065,2018-09-06T19:04:21.476394-05:00,2e841fe2d1229b2a07a0d990f80eb44a,c3fc456a-7ee1-403d-b129-1802ceecee46,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LGG,7dbf7e58-b52d-4a54-a55e-884caf8591a8,released,792fab13-a7a6-4b1f-be25-b4fd3db15ed2_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-CS-6670,TCGA-CS-6670-01A
e0ce5419-5a2c-4f8d-84e3-f35a780fc24e,TXT,TCGA-QH-A6X5-01A-12R-A32Q-07,open,59457f9e-5d93-4ed9-bff7-f26019672fc0.htseq.counts.gz,59457f9e-5d93-4ed9-bff7-f26019672fc0_count,Transcriptome Profiling,gene_expression,2016-05-30T18:57:51.960378-05:00,253950,2018-09-06T19:04:21.476394-05:00,35108e8c3133d0f9f8eedb12373779d0,e0ce5419-5a2c-4f8d-84e3-f35a780fc24e,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LGG,793c5f0b-052d-4eeb-83ef-e07bcaf86768,released,59457f9e-5d93-4ed9-bff7-f26019672fc0_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-QH-A6X5,TCGA-QH-A6X5-01A
258a82f6-ae30-4241-a191-97278ad34268,TXT,TCGA-HW-7493-01A-11R-2027-07,open,dde393cc-d889-4a29-ace8-46eb0919286a.htseq.counts.gz,dde393cc-d889-4a29-ace8-46eb0919286a_count,Transcriptome Profiling,gene_expression,2016-05-29T11:09:39.565884-05:00,253314,2018-09-06T19:04:21.476394-05:00,324a4c2e612945cc8f6272b9460f109a,258a82f6-ae30-4241-a191-97278ad34268,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LGG,1ac70cbf-fe81-4f0f-b77a-8223ff9c9d2f,released,dde393cc-d889-4a29-ace8-46eb0919286a_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-HW-7493,TCGA-HW-7493-01A
1ba4175e-5dec-46f5-8831-52b578fad6e8,TXT,TCGA-CS-6667-01A-12R-2027-07,open,945e476c-814f-4e6a-8841-b28c62f1b82c.htseq.counts.gz,945e476c-814f-4e6a-8841-b28c62f1b82c_count,Transcriptome Profiling,gene_expression,2016-05-29T10:55:52.545158-05:00,255667,2018-09-06T19:04:21.476394-05:00,5aba62104c9a53b0a4b62ddd831af169,1ba4175e-5dec-46f5-8831-52b578fad6e8,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LGG,066efcf3-6191-4cf4-b333-6559c5adbf86,released,945e476c-814f-4e6a-8841-b28c62f1b82c_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-CS-6667,TCGA-CS-6667-01A
ca14ff92-9c72-4038-b9f2-6246e938432e,TXT,TCGA-DU-6406-01A-11R-1708-07,open,bd72ce70-2dc6-47b6-8f3a-2b5872672c44.htseq.counts.gz,bd72ce70-2dc6-47b6-8f3a-2b5872672c44_count,Transcriptome Profiling,gene_expression,2016-05-30T18:43:34.794666-05:00,256748,2018-09-06T19:04:21.476394-05:00,c0aeba5f1ec2e1ca6433bc618284fc97,ca14ff92-9c72-4038-b9f2-6246e938432e,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LGG,fc39a6b1-16b6-4c56-b4a0-72383bb2029b,released,bd72ce70-2dc6-47b6-8f3a-2b5872672c44_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-DU-6406,TCGA-DU-6406-01A
cc054dd8-fa0d-418e-b01f-26e5dabc70ff,TXT,TCGA-DU-A7TA-01A-11R-A33Z-07,open,5a4dbeef-fd61-4bb1-ab36-5fb0e9b7cbff.htseq.counts.gz,5a4dbeef-fd61-4bb1-ab36-5fb0e9b7cbff_count,Transcriptome Profiling,gene_expression,2016-05-30T18:58:51.595527-05:00,257279,2018-09-06T19:04:21.476394-05:00,ea837b28c928d2e61be07e09297e9a5a,cc054dd8-fa0d-418e-b01f-26e5dabc70ff,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LGG,2d0519af-1a62-415f-9f0f-cd3cca5ccf0f,released,5a4dbeef-fd61-4bb1-ab36-5fb0e9b7cbff_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-DU-A7TA,TCGA-DU-A7TA-01A
87af6a12-ef3d-40c9-bae2-6b2a9b53d854,TXT,TCGA-QH-A6X4-01A-51R-A32Q-07,open,e11893ad-2f46-4f9f-9fe3-56fe68349228.htseq.counts.gz,e11893ad-2f46-4f9f-9fe3-56fe68349228_count,Transcriptome Profiling,gene_expression,2016-05-30T18:30:02.759794-05:00,256537,2018-09-06T19:04:21.476394-05:00,4bb60c2b10a1f342d69aa16aa35131da,87af6a12-ef3d-40c9-bae2-6b2a9b53d854,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LGG,1e625d6e-f408-47a6-86a8-e419b2e24ba3,released,e11893ad-2f46-4f9f-9fe3-56fe68349228_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-QH-A6X4,TCGA-QH-A6X4-01A
71b559bf-d745-4560-a4d8-3de9206fa6f3,TXT,TCGA-TQ-A7RR-01A-21R-A34F-07,open,9405ee49-6525-45e4-b471-04c6838c6514.htseq.counts.gz,9405ee49-6525-45e4-b471-04c6838c6514_count,Transcriptome Profiling,gene_expression,2016-05-29T10:36:54.227097-05:00,257729,2018-09-06T19:04:21.476394-05:00,2f48edc68e233c0654f1d40ae10528f0,71b559bf-d745-4560-a4d8-3de9206fa6f3,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LGG,a5156277-dc82-4525-84da-b2062d61159d,released,9405ee49-6525-45e4-b471-04c6838c6514_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-TQ-A7RR,TCGA-TQ-A7RR-01A
1f359a04-91cc-414d-8db4-5c6591d49024,TXT,TCGA-HT-8104-01A-11R-2404-07,open,84cefcf0-aa09-437f-bac4-c13c4ffcbc50.htseq.counts.gz,84cefcf0-aa09-437f-bac4-c13c4ffcbc50_count,Transcriptome Profiling,gene_expression,2016-05-29T10:35:27.185736-05:00,258288,2018-09-06T19:04:21.476394-05:00,03fe66b58d60578687e0c79ed9eb6f17,1f359a04-91cc-414d-8db4-5c6591d49024,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LGG,a5b3d816-a6f0-48f3-95e3-22f17380cc91,released,84cefcf0-aa09-437f-bac4-c13c4ffcbc50_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-HT-8104,TCGA-HT-8104-01A
ce91fb9a-a1d1-488d-9821-890871d9cf30,TXT,TCGA-HT-A74K-01A-11R-A32Q-07,open,796f5e71-59e1-40cd-96c5-a760827d4ffd.htseq.counts.gz,796f5e71-59e1-40cd-96c5-a760827d4ffd_count,Transcriptome Profiling,gene_expression,2016-05-30T18:36:14.178298-05:00,249911,2018-09-06T19:04:21.476394-05:00,05a54abb61e0cfb3984222c2a4f0fe7b,ce91fb9a-a1d1-488d-9821-890871d9cf30,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LGG,79a08990-0a62-4952-9f8e-b403f4d0ddb6,released,796f5e71-59e1-40cd-96c5-a760827d4ffd_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-HT-A74K,TCGA-HT-A74K-01A
9de746cd-b8b5-4e75-bf30-f89cfd6124d4,TXT,TCGA-DB-A64X-01A-11R-A29R-07,open,f05cd785-0dca-4848-8e7a-dc5118d1cfa8.htseq.counts.gz,f05cd785-0dca-4848-8e7a-dc5118d1cfa8_count,Transcriptome Profiling,gene_expression,2016-05-30T18:30:53.791408-05:00,253056,2018-09-06T19:04:21.476394-05:00,620ec00420cfbf1298d3c8969f9af835,9de746cd-b8b5-4e75-bf30-f89cfd6124d4,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LGG,d56d561e-3326-4d51-80dc-37fa15677106,released,f05cd785-0dca-4848-8e7a-dc5118d1cfa8_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-DB-A64X,TCGA-DB-A64X-01A
1bf2e8d0-efce-4def-8d4b-2bc7d59244a6,TXT,TCGA-HT-8107-01A-13R-2404-07,open,be44f03f-bf32-4625-b004-abfa9eea64b5.htseq.counts.gz,be44f03f-bf32-4625-b004-abfa9eea64b5_count,Transcriptome Profiling,gene_expression,2016-05-30T19:01:07.037690-05:00,257532,2018-09-06T19:04:21.476394-05:00,7624b0a861524cf4fec982a9027ff150,1bf2e8d0-efce-4def-8d4b-2bc7d59244a6,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LGG,c538be6c-9065-4743-9b4a-ae71aad98111,released,be44f03f-bf32-4625-b004-abfa9eea64b5_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-HT-8107,TCGA-HT-8107-01A
9cffd166-1dca-4bab-9506-40dfd2353cb6,TXT,TCGA-FG-A710-01A-12R-A33Z-07,open,84b90cf8-ad30-433e-983b-b9cfb986a0a6.htseq.counts.gz,84b90cf8-ad30-433e-983b-b9cfb986a0a6_count,Transcriptome Profiling,gene_expression,2016-05-29T10:33:49.642816-05:00,256292,2018-09-06T19:04:21.476394-05:00,afc60abc54453116f25e0a6fb078fd6f,9cffd166-1dca-4bab-9506-40dfd2353cb6,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LGG,8a54c8d7-0dce-4d58-a38f-13bc943ac3ea,released,84b90cf8-ad30-433e-983b-b9cfb986a0a6_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-FG-A710,TCGA-FG-A710-01A
0b039a92-211c-4472-9a16-5edd3fcf11f3,TXT,TCGA-QH-A6CX-01A-11R-A32Q-07,open,337e33d8-d151-4509-8b16-62b288489c4c.htseq.counts.gz,337e33d8-d151-4509-8b16-62b288489c4c_count,Transcriptome Profiling,gene_expression,2016-05-30T18:50:26.672487-05:00,251401,2018-09-06T19:04:21.476394-05:00,d7fe2e0b1a5981ce3d7b46f6e1727393,0b039a92-211c-4472-9a16-5edd3fcf11f3,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LGG,73cb565e-6cb9-4aad-9856-846c1a744f58,released,337e33d8-d151-4509-8b16-62b288489c4c_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-QH-A6CX,TCGA-QH-A6CX-01A
5bfb4ad8-8157-4c75-8086-ff73c8e1a1c3,TXT,TCGA-CS-6666-01A-11R-1896-07,open,c3e167ae-f12e-45f0-90e9-b54a63625dfe.htseq.counts.gz,c3e167ae-f12e-45f0-90e9-b54a63625dfe_count,Transcriptome Profiling,gene_expression,2016-05-29T10:49:43.807777-05:00,251862,2018-09-06T19:04:21.476394-05:00,ba28dc117dce28744824b65fb3a6906b,5bfb4ad8-8157-4c75-8086-ff73c8e1a1c3,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LGG,2cfc2bee-07f8-4d87-b8ff-7ef97290f62c,released,c3e167ae-f12e-45f0-90e9-b54a63625dfe_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-CS-6666,TCGA-CS-6666-01A
81751af1-bd09-4904-a1bd-68b9f248a30a,TXT,TCGA-TM-A7CA-01A-21R-A33Z-07,open,2bbe5f87-d67f-4e30-8f8e-4e2a1cf5b7a3.htseq.counts.gz,2bbe5f87-d67f-4e30-8f8e-4e2a1cf5b7a3_count,Transcriptome Profiling,gene_expression,2016-05-26T21:24:58.278484-05:00,255172,2018-09-06T19:04:21.476394-05:00,c0e88dab09bb5ecd4928d2a76b3df4b5,81751af1-bd09-4904-a1bd-68b9f248a30a,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LGG,7ba139a8-861e-4c91-8c7f-2cc8d44ff1bf,released,2bbe5f87-d67f-4e30-8f8e-4e2a1cf5b7a3_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-TM-A7CA,TCGA-TM-A7CA-01A
420c49ad-cd47-4361-87ed-2136248e2a58,TXT,TCGA-HW-7486-01A-11R-2027-07,open,aacc8d8b-efa9-48cc-a547-07197d33d865.htseq.counts.gz,aacc8d8b-efa9-48cc-a547-07197d33d865_count,Transcriptome Profiling,gene_expression,2016-05-29T10:30:38.594809-05:00,254293,2018-09-06T19:04:21.476394-05:00,af7be39b7a5ffed8bd32a23bb07ce38d,420c49ad-cd47-4361-87ed-2136248e2a58,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LGG,ebe2df1e-06a1-435a-81d3-f8a3085d74b8,released,aacc8d8b-efa9-48cc-a547-07197d33d865_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-HW-7486,TCGA-HW-7486-01A
3356af1f-dad8-4f8f-8df4-cc1b93ae1bd2,TXT,TCGA-DU-6397-02A-12R-A36H-07,open,a0a23823-3e04-49af-9494-87bc5ddd5424.htseq.counts.gz,a0a23823-3e04-49af-9494-87bc5ddd5424_count,Transcriptome Profiling,gene_expression,2016-05-29T11:14:27.782470-05:00,252233,2018-09-06T19:04:21.476394-05:00,0e556c1279daac2fa6856ad5e25d02a2,3356af1f-dad8-4f8f-8df4-cc1b93ae1bd2,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LGG,31ee4de1-0e66-4b02-82d5-55fbed744bad,released,a0a23823-3e04-49af-9494-87bc5ddd5424_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Recurrent Tumor,FALSE,TCGA-DU-6397,TCGA-DU-6397-02A
e3941969-3a48-4a39-9da5-c47a153c919a,TXT,TCGA-QH-A6X8-01A-12R-A32Q-07,open,54661d8a-a0af-4893-b181-929435381f24.htseq.counts.gz,54661d8a-a0af-4893-b181-929435381f24_count,Transcriptome Profiling,gene_expression,2016-05-30T18:51:30.987444-05:00,254893,2018-09-06T19:04:21.476394-05:00,999795c60e48276cdc52381eb98d2aaf,e3941969-3a48-4a39-9da5-c47a153c919a,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LGG,146f927f-4405-436b-be2d-bb4930885ceb,released,54661d8a-a0af-4893-b181-929435381f24_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-QH-A6X8,TCGA-QH-A6X8-01A
a7149369-9600-482e-8daf-0a4dc6be6db2,TXT,TCGA-DU-A76K-01A-11R-A33Z-07,open,12b9d0de-401d-4656-8df0-1834dce82751.htseq.counts.gz,12b9d0de-401d-4656-8df0-1834dce82751_count,Transcriptome Profiling,gene_expression,2016-05-29T10:08:53.573057-05:00,258277,2018-09-06T19:04:21.476394-05:00,142972e2cd5a55a0726a761745c5245a,a7149369-9600-482e-8daf-0a4dc6be6db2,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LGG,db5a7e20-c66d-447a-bfbd-577e592eac33,released,12b9d0de-401d-4656-8df0-1834dce82751_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-DU-A76K,TCGA-DU-A76K-01A
af803eb9-f90e-4943-9ef5-288d20788845,TXT,TCGA-DB-A4XD-01A-11R-A27Q-07,open,0084185c-3a20-4771-a036-5e80a30965ea.htseq.counts.gz,0084185c-3a20-4771-a036-5e80a30965ea_count,Transcriptome Profiling,gene_expression,2016-05-26T21:18:47.495882-05:00,252277,2018-09-06T19:04:21.476394-05:00,2c83bb5a4f241a1bcbc7dabfef90bd88,af803eb9-f90e-4943-9ef5-288d20788845,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LGG,0ba46665-c886-4254-8876-d7bbe4e9688d,released,0084185c-3a20-4771-a036-5e80a30965ea_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-DB-A4XD,TCGA-DB-A4XD-01A
c669fa8a-0041-45a0-b311-f244eb685279,TXT,TCGA-DH-A669-01A-12R-A31N-07,open,3af76286-821a-4552-b4f2-b048342abb6e.htseq.counts.gz,3af76286-821a-4552-b4f2-b048342abb6e_count,Transcriptome Profiling,gene_expression,2016-05-30T18:22:15.822812-05:00,255771,2018-09-06T19:04:21.476394-05:00,48af2b45661909c0d52d0c020e29e3dc,c669fa8a-0041-45a0-b311-f244eb685279,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LGG,89b6bd81-fd7f-4487-9aa0-1fb1f822cbb3,released,3af76286-821a-4552-b4f2-b048342abb6e_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-DH-A669,TCGA-DH-A669-01A
989391ca-ee79-4da8-be8d-1135dcb7fdef,TXT,TCGA-WY-A858-01A-11R-A36H-07,open,f72bcdc8-db73-483f-9101-df9646039d2b.htseq.counts.gz,f72bcdc8-db73-483f-9101-df9646039d2b_count,Transcriptome Profiling,gene_expression,2016-05-30T18:46:56.267775-05:00,251696,2018-09-06T19:04:21.476394-05:00,25c894508cedc5b1c39ba4659279335b,989391ca-ee79-4da8-be8d-1135dcb7fdef,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LGG,b5ff573e-0d48-446e-8942-4ff471146f7d,released,f72bcdc8-db73-483f-9101-df9646039d2b_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-WY-A858,TCGA-WY-A858-01A
616cc351-b797-4f4e-8043-e66052f82166,TXT,TCGA-DU-7294-01A-11R-2027-07,open,6e6d808e-a80f-4f34-a6e7-ac5f10a0bf0c.htseq.counts.gz,6e6d808e-a80f-4f34-a6e7-ac5f10a0bf0c_count,Transcriptome Profiling,gene_expression,2016-05-29T10:17:23.241300-05:00,254823,2018-09-06T19:04:21.476394-05:00,01d16179eebe741635c17181119f59be,616cc351-b797-4f4e-8043-e66052f82166,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LGG,d9ee13fb-7f5a-4999-9cd9-f97416f9f424,released,6e6d808e-a80f-4f34-a6e7-ac5f10a0bf0c_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-DU-7294,TCGA-DU-7294-01A
