id,data_format,cases,access,file_name,submitter_id,data_category,type,created_datetime,file_size,updated_datetime,md5sum,file_id,data_type,state,experimental_strategy,version,data_release,project,analysis_id,analysis_state,analysis_submitter_id,analysis_workflow_link,analysis_workflow_type,analysis_workflow_version,sample_type,is_ffpe,cases.submitter_id,sample.submitter_id
16730a4f-96e6-4547-be65-ee0215fad084,TXT,TCGA-BC-A10Z-01A-11R-A131-07,open,e1a09abe-65a6-4f31-a12a-b3e4267665fa.htseq.counts.gz,e1a09abe-65a6-4f31-a12a-b3e4267665fa_count,Transcriptome Profiling,gene_expression,2016-05-30T18:18:48.496631-05:00,250391,2018-09-06T14:13:07.098771-05:00,4cf536f1d1eb1c649dc64110df9fd5d2,16730a4f-96e6-4547-be65-ee0215fad084,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LIHC,862ba877-ca94-4155-85ca-158eac1be898,released,e1a09abe-65a6-4f31-a12a-b3e4267665fa_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-BC-A10Z,TCGA-BC-A10Z-01A
767a13f9-c406-4cd2-a68c-fa0d082cd0b8,TXT,TCGA-DD-AAEK-01A-11R-A41C-07,open,81028e71-7b3f-4233-aaea-8a2d88aa9fc7.htseq.counts.gz,81028e71-7b3f-4233-aaea-8a2d88aa9fc7_count,Transcriptome Profiling,gene_expression,2016-05-30T18:17:51.354767-05:00,240641,2018-09-06T14:13:07.098771-05:00,6c1d2d8de52f0000655c9353ef295aa5,767a13f9-c406-4cd2-a68c-fa0d082cd0b8,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LIHC,f50a8ac9-3bb6-4aa9-bb26-a6d3e4157753,released,81028e71-7b3f-4233-aaea-8a2d88aa9fc7_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-DD-AAEK,TCGA-DD-AAEK-01A
4db947b5-44bc-49ac-812b-ec7d6faa4d30,TXT,TCGA-G3-A3CK-01A-11R-A213-07,open,687e7d1d-99eb-4bf9-9fa3-49e324ef32c3.htseq.counts.gz,687e7d1d-99eb-4bf9-9fa3-49e324ef32c3_count,Transcriptome Profiling,gene_expression,2016-05-29T10:13:55.962823-05:00,248646,2018-09-06T14:13:07.098771-05:00,a94014b1f2bd7164b67368b6b9049857,4db947b5-44bc-49ac-812b-ec7d6faa4d30,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LIHC,28f25d3d-c8da-4ac7-8f53-08310cddd4f7,released,687e7d1d-99eb-4bf9-9fa3-49e324ef32c3_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-G3-A3CK,TCGA-G3-A3CK-01A
5f99719e-e0f0-41d9-b3bf-59b318030ffd,TXT,TCGA-DD-A1EJ-01A-11R-A155-07,open,1a228668-b2a0-469f-8801-fdc8be449b44.htseq.counts.gz,1a228668-b2a0-469f-8801-fdc8be449b44_count,Transcriptome Profiling,gene_expression,2016-05-29T10:28:24.945429-05:00,252528,2018-09-06T14:13:07.098771-05:00,353189f900a2118eafd03692c2d5c2e0,5f99719e-e0f0-41d9-b3bf-59b318030ffd,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LIHC,f298fa39-2bc4-4589-bd90-48adde7a5f03,released,1a228668-b2a0-469f-8801-fdc8be449b44_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-DD-A1EJ,TCGA-DD-A1EJ-01A
e10beb4e-2965-4b70-926c-3a83e8a0c4f1,TXT,TCGA-DD-AACU-01A-11R-A41C-07,open,8ee536bb-54fb-482d-82c1-e9fba4156569.htseq.counts.gz,8ee536bb-54fb-482d-82c1-e9fba4156569_count,Transcriptome Profiling,gene_expression,2016-05-29T10:47:28.358700-05:00,246712,2018-09-06T14:13:07.098771-05:00,30b46438f4304b408f2c85afb71beea4,e10beb4e-2965-4b70-926c-3a83e8a0c4f1,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LIHC,d3df4b01-c519-4fc3-a733-b9ed14ac3fb2,released,8ee536bb-54fb-482d-82c1-e9fba4156569_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-DD-AACU,TCGA-DD-AACU-01A
79af55c6-d6ef-4b30-9702-47070261e8c1,TXT,TCGA-ZS-A9CE-01A-11R-A37K-07,open,0c787696-c73f-4402-a0e5-f893c4638a76.htseq.counts.gz,0c787696-c73f-4402-a0e5-f893c4638a76_count,Transcriptome Profiling,gene_expression,2016-05-30T18:24:35.247965-05:00,249029,2018-09-06T14:13:07.098771-05:00,48c01d69598edfc76114c98bf7d0bcea,79af55c6-d6ef-4b30-9702-47070261e8c1,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LIHC,10c5edd9-6cd2-46f9-be33-24d5a7e54db9,released,0c787696-c73f-4402-a0e5-f893c4638a76_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-ZS-A9CE,TCGA-ZS-A9CE-01A
7f78024c-a6a1-4bcb-ad9d-72bfb6d2cd61,TXT,TCGA-DD-A11A-11A-11R-A131-07,open,7bb9e61e-2d41-4503-9751-009a9da74206.htseq.counts.gz,7bb9e61e-2d41-4503-9751-009a9da74206_count,Transcriptome Profiling,gene_expression,2016-05-29T10:36:58.318994-05:00,244634,2018-09-06T14:13:07.098771-05:00,e2f1d99effe2b09c1609cacf8cc236f9,7f78024c-a6a1-4bcb-ad9d-72bfb6d2cd61,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LIHC,b2d114ea-81b8-40ae-aeff-9c2f1d342ae9,released,7bb9e61e-2d41-4503-9751-009a9da74206_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Solid Tissue Normal,FALSE,TCGA-DD-A11A,TCGA-DD-A11A-11A
d4138e22-84e8-40ee-b473-a69225c09d3f,TXT,TCGA-2Y-A9H2-01A-12R-A38B-07,open,f7a956f8-4dc2-437a-92db-8baf8f9b3f14.htseq.counts.gz,f7a956f8-4dc2-437a-92db-8baf8f9b3f14_count,Transcriptome Profiling,gene_expression,2016-05-30T18:50:35.779911-05:00,251513,2018-09-06T14:13:07.098771-05:00,1d0fd75441d8a7d4381f90da3a15c286,d4138e22-84e8-40ee-b473-a69225c09d3f,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LIHC,ab283615-7b19-4a41-b5a2-07e95ae8e292,released,f7a956f8-4dc2-437a-92db-8baf8f9b3f14_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-2Y-A9H2,TCGA-2Y-A9H2-01A
d905c918-d3fa-4ee0-8b1d-5aeb98584def,TXT,TCGA-CC-5261-01A-01R-A131-07,open,18e687c3-7d76-4a4d-a665-95331732ef9c.htseq.counts.gz,18e687c3-7d76-4a4d-a665-95331732ef9c_count,Transcriptome Profiling,gene_expression,2016-05-26T21:18:16.634286-05:00,249209,2018-09-06T14:13:07.098771-05:00,3c3b18c555c3ff8ac61be4e007b6664a,d905c918-d3fa-4ee0-8b1d-5aeb98584def,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LIHC,4d19195c-73bc-49f6-935b-684ff94e5fa5,released,18e687c3-7d76-4a4d-a665-95331732ef9c_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-CC-5261,TCGA-CC-5261-01A
04f55531-449e-479b-bc4e-b6771dcaa7d7,TXT,TCGA-DD-AADP-01A-11R-A39D-07,open,63f03089-1c71-4f72-90b0-3027aa042fce.htseq.counts.gz,63f03089-1c71-4f72-90b0-3027aa042fce_count,Transcriptome Profiling,gene_expression,2016-05-30T18:29:38.086105-05:00,245289,2018-09-06T14:13:07.098771-05:00,c015ea0280ae3fc7804b303b44552504,04f55531-449e-479b-bc4e-b6771dcaa7d7,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LIHC,9b9e06b1-feaf-4834-ae8c-8dc17a55490e,released,63f03089-1c71-4f72-90b0-3027aa042fce_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-DD-AADP,TCGA-DD-AADP-01A
