id,data_format,access,cases,file_name,data_category,submitter_id,type,created_datetime,file_size,md5sum,updated_datetime,file_id,data_type,state,experimental_strategy,version,data_release,project,analysis_id,analysis_state,analysis_submitter_id,analysis_workflow_link,analysis_workflow_type,analysis_workflow_version,sample_type,is_ffpe,cases.submitter_id,sample.submitter_id
1f3b729f-b529-406d-b3f9-d1d5fd8d6e7e,TXT,open,TCGA-85-A53L-01A-21R-A26W-07,8e9207d2-9ff8-427b-b968-47f619c41b1f.htseq.counts.gz,Transcriptome Profiling,8e9207d2-9ff8-427b-b968-47f619c41b1f_count,gene_expression,2016-05-29T10:48:36.697161-05:00,256177,188864741037081ec8f1ad87b8acda3b,2018-09-06T16:31:22.449726-05:00,1f3b729f-b529-406d-b3f9-d1d5fd8d6e7e,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LUSC,0d30e90c-b936-48e2-bede-3eafc3392480,released,8e9207d2-9ff8-427b-b968-47f619c41b1f_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-85-A53L,TCGA-85-A53L-01A
c2305342-8cf5-41a5-8ca7-352aa85360a0,TXT,open,TCGA-52-7811-01A-11R-2125-07,f692002e-e09f-4d1c-a27c-cf5088b498ec.htseq.counts.gz,Transcriptome Profiling,f692002e-e09f-4d1c-a27c-cf5088b498ec_count,gene_expression,2016-05-26T21:12:40.466282-05:00,254636,4b2911d7f766a88375cf7bb8ff10561a,2018-09-06T16:31:22.449726-05:00,c2305342-8cf5-41a5-8ca7-352aa85360a0,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LUSC,a107d93d-5630-49f8-8ef7-9db11f0dc74e,released,f692002e-e09f-4d1c-a27c-cf5088b498ec_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-52-7811,TCGA-52-7811-01A
927f75f7-a758-454a-a8a9-2cdc59252ae3,TXT,open,TCGA-85-7710-01A-11R-2125-07,1590bb02-832b-4594-a1a8-ffc0dc3b0c96.htseq.counts.gz,Transcriptome Profiling,1590bb02-832b-4594-a1a8-ffc0dc3b0c96_count,gene_expression,2016-05-30T18:33:57.507213-05:00,254538,75fa390a9d0630ec1d2bc46d31a44b01,2018-09-06T16:31:22.449726-05:00,927f75f7-a758-454a-a8a9-2cdc59252ae3,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LUSC,99c734a5-c910-4c0f-9d47-718f543fdc30,released,1590bb02-832b-4594-a1a8-ffc0dc3b0c96_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-85-7710,TCGA-85-7710-01A
84de48ec-8f23-4455-a4a6-cac0cacb4aba,TXT,open,TCGA-85-8481-01A-11R-2326-07,adc60e49-9edc-47e3-8c1e-e29f9f3740f5.htseq.counts.gz,Transcriptome Profiling,adc60e49-9edc-47e3-8c1e-e29f9f3740f5_count,gene_expression,2016-05-29T10:07:03.092010-05:00,248884,f93892648b41eca4b88312034e5bc02f,2018-09-06T16:31:22.449726-05:00,84de48ec-8f23-4455-a4a6-cac0cacb4aba,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LUSC,24b8eb35-2fe2-4f9b-89e4-37ba5d455909,released,adc60e49-9edc-47e3-8c1e-e29f9f3740f5_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-85-8481,TCGA-85-8481-01A
845513bf-b76e-48ea-a651-1cab4666ebf4,TXT,open,TCGA-85-A512-01A-11R-A26W-07,46f8e9d8-032c-471e-876c-1af0ac3b1cee.htseq.counts.gz,Transcriptome Profiling,46f8e9d8-032c-471e-876c-1af0ac3b1cee_count,gene_expression,2016-05-30T18:41:16.393201-05:00,255112,482107515201682620c6cbb0423fbab4,2018-09-06T16:31:22.449726-05:00,845513bf-b76e-48ea-a651-1cab4666ebf4,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LUSC,dbe28527-cdff-4fdf-8f49-15ec530d3577,released,46f8e9d8-032c-471e-876c-1af0ac3b1cee_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-85-A512,TCGA-85-A512-01A
816e41b4-62fe-4194-88ea-db4f0116b96e,TXT,open,TCGA-56-7221-01A-11R-2045-07,03b4b91f-cc41-47f5-be2e-78521914b41d.htseq.counts.gz,Transcriptome Profiling,03b4b91f-cc41-47f5-be2e-78521914b41d_count,gene_expression,2016-05-26T21:19:48.791103-05:00,258872,66ce1219b4b58a46279840aea04de298,2018-09-06T16:31:22.449726-05:00,816e41b4-62fe-4194-88ea-db4f0116b96e,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LUSC,ffadfa33-029a-4149-beaa-1890e5cf747f,released,03b4b91f-cc41-47f5-be2e-78521914b41d_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-56-7221,TCGA-56-7221-01A
c3e1d198-246a-4374-ba9a-808aa032b08e,TXT,open,TCGA-22-5485-01A-01R-1635-07,6821cf1e-ae8a-472d-8b55-92eca84abab5.htseq.counts.gz,Transcriptome Profiling,6821cf1e-ae8a-472d-8b55-92eca84abab5_count,gene_expression,2016-05-29T10:08:43.249236-05:00,254986,ec99443309c868598593afaf8d063de1,2018-09-06T16:31:22.449726-05:00,c3e1d198-246a-4374-ba9a-808aa032b08e,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LUSC,7612474a-d5eb-4c62-b01c-da748a2dfef3,released,6821cf1e-ae8a-472d-8b55-92eca84abab5_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-22-5485,TCGA-22-5485-01A
d3ae4a0a-3a59-417f-8d79-da460e5fc610,TXT,open,TCGA-56-8305-01A-11R-2296-07,b094d6f6-2682-4c01-b390-59b2560867ab.htseq.counts.gz,Transcriptome Profiling,b094d6f6-2682-4c01-b390-59b2560867ab_count,gene_expression,2016-05-30T18:53:40.523661-05:00,254071,a5ce245b59b14c388eebbd8b7834da5d,2018-09-06T16:31:22.449726-05:00,d3ae4a0a-3a59-417f-8d79-da460e5fc610,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LUSC,69fc19d6-4f31-49a0-9483-daf231695977,released,b094d6f6-2682-4c01-b390-59b2560867ab_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-56-8305,TCGA-56-8305-01A
807be468-2372-4d3f-982c-e6b719e23d35,TXT,open,TCGA-85-6561-01A-11R-1820-07,8c593c14-319f-4268-92c1-46019e543502.htseq.counts.gz,Transcriptome Profiling,8c593c14-319f-4268-92c1-46019e543502_count,gene_expression,2016-05-29T10:22:16.241922-05:00,257434,2b13c0c55f582f844b8dee44e1d73d00,2018-09-06T16:31:22.449726-05:00,807be468-2372-4d3f-982c-e6b719e23d35,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LUSC,80443af4-ba19-43bc-b5fa-a5ee2acfc0b3,released,8c593c14-319f-4268-92c1-46019e543502_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-85-6561,TCGA-85-6561-01A
af447c17-ba55-4bcb-8697-f4a184541a7f,TXT,open,TCGA-98-A53B-01A-11R-A262-07,86a373e8-40a9-45b5-a646-6098bc88640e.htseq.counts.gz,Transcriptome Profiling,86a373e8-40a9-45b5-a646-6098bc88640e_count,gene_expression,2016-05-30T18:55:00.782760-05:00,257808,315ce9839f07dcc177b8625eac856e56,2018-09-06T16:31:22.449726-05:00,af447c17-ba55-4bcb-8697-f4a184541a7f,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LUSC,20e2a3a6-32f6-4603-a9f4-c52f0af6863d,released,86a373e8-40a9-45b5-a646-6098bc88640e_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-98-A53B,TCGA-98-A53B-01A
a2139473-3879-4c4a-910c-4d34ee6c8047,TXT,open,TCGA-39-5039-01A-01R-1443-07,433237bf-1db2-4d5b-98f8-2e1c5796c65f.htseq.counts.gz,Transcriptome Profiling,433237bf-1db2-4d5b-98f8-2e1c5796c65f_count,gene_expression,2016-06-01T23:31:24.601800-05:00,249467,968fb065a34682623aee7e8da6d80b91,2018-09-06T16:31:22.449726-05:00,a2139473-3879-4c4a-910c-4d34ee6c8047,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LUSC,e6340363-69cc-4ac0-a25b-d944dbe023ba,released,433237bf-1db2-4d5b-98f8-2e1c5796c65f_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-39-5039,TCGA-39-5039-01A
2d24d285-0f71-42d5-ba8d-422a536f9c94,TXT,open,TCGA-68-A59I-01A-11R-A262-07,f1e5b33c-df59-45d5-b037-902eb29ddd55.htseq.counts.gz,Transcriptome Profiling,f1e5b33c-df59-45d5-b037-902eb29ddd55_count,gene_expression,2016-05-26T21:12:51.110046-05:00,256794,0da9483045aef8ad0407a9516494e1d0,2018-09-06T16:31:22.449726-05:00,2d24d285-0f71-42d5-ba8d-422a536f9c94,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LUSC,717d7049-d70d-4943-b7d6-05a8afb20941,released,f1e5b33c-df59-45d5-b037-902eb29ddd55_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-68-A59I,TCGA-68-A59I-01A
b34977ce-e41f-46aa-b077-048dabcd89e6,TXT,open,TCGA-90-7766-01A-21R-2125-07,3e6a57fd-0683-48a6-b3cb-32510c49ff2e.htseq.counts.gz,Transcriptome Profiling,3e6a57fd-0683-48a6-b3cb-32510c49ff2e_count,gene_expression,2016-05-29T10:17:42.353577-05:00,258685,3ebed46fe59967e6fb269ee5883b4300,2018-09-06T16:31:22.449726-05:00,b34977ce-e41f-46aa-b077-048dabcd89e6,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LUSC,2f5e312a-4efa-43dc-a607-dfb0004f4cfe,released,3e6a57fd-0683-48a6-b3cb-32510c49ff2e_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-90-7766,TCGA-90-7766-01A
c6a3fd2b-7705-44b5-b9d2-7967069ee261,TXT,open,TCGA-66-2744-01A-01R-0980-07,1888b928-30dc-4b5c-b0aa-7a1e9e34f753.htseq.counts.gz,Transcriptome Profiling,1888b928-30dc-4b5c-b0aa-7a1e9e34f753_count,gene_expression,2016-05-26T21:20:16.975721-05:00,253638,97899dd1b1e31dd9f727582cde86ffbf,2018-09-06T16:31:22.449726-05:00,c6a3fd2b-7705-44b5-b9d2-7967069ee261,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LUSC,57180661-2736-4bca-880d-4a3178e480fe,released,1888b928-30dc-4b5c-b0aa-7a1e9e34f753_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-66-2744,TCGA-66-2744-01A
c5ada9ec-44fc-46ca-9ed9-2d90fd4da4ba,TXT,open,TCGA-77-8128-01A-11R-2247-07,b341a7c3-cb6f-4e90-a672-0558b1c1a930.htseq.counts.gz,Transcriptome Profiling,b341a7c3-cb6f-4e90-a672-0558b1c1a930_count,gene_expression,2016-05-29T10:56:30.040636-05:00,253213,05282aa7218f6941b336ab103b46ba13,2018-09-06T16:31:22.449726-05:00,c5ada9ec-44fc-46ca-9ed9-2d90fd4da4ba,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LUSC,126fd328-534f-4f0e-a840-17304b69e20a,released,b341a7c3-cb6f-4e90-a672-0558b1c1a930_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-77-8128,TCGA-77-8128-01A
348068a7-cb1d-4056-8688-180d59aec77f,TXT,open,TCGA-94-7033-01A-11R-1949-07,dab350c1-f3b4-488b-8c48-7f8339e4a554.htseq.counts.gz,Transcriptome Profiling,dab350c1-f3b4-488b-8c48-7f8339e4a554_count,gene_expression,2016-05-29T10:10:14.306735-05:00,256143,e2db00f149a4181de996224266d8b867,2018-09-06T16:31:22.449726-05:00,348068a7-cb1d-4056-8688-180d59aec77f,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LUSC,fca0ce22-3d81-448a-829e-27e9dc45098c,released,dab350c1-f3b4-488b-8c48-7f8339e4a554_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-94-7033,TCGA-94-7033-01A
a56f2388-4568-4b46-add7-be13944f7a2f,TXT,open,TCGA-63-A5MH-01A-12R-A27Q-07,55b8f9f7-0fd2-4f59-9cbf-c071fe27c4ef.htseq.counts.gz,Transcriptome Profiling,55b8f9f7-0fd2-4f59-9cbf-c071fe27c4ef_count,gene_expression,2016-05-29T10:28:14.950394-05:00,253780,4041432617b433a1203de49acbf7d128,2018-09-06T16:31:22.449726-05:00,a56f2388-4568-4b46-add7-be13944f7a2f,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-LUSC,a14c6c39-8873-46a6-9750-812556f339ad,released,55b8f9f7-0fd2-4f59-9cbf-c071fe27c4ef_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-63-A5MH,TCGA-63-A5MH-01A
