id,data_format,cases,access,file_name,submitter_id,data_category,type,created_datetime,file_size,updated_datetime,md5sum,file_id,data_type,state,experimental_strategy,version,data_release,project,analysis_id,analysis_state,analysis_submitter_id,analysis_workflow_link,analysis_workflow_type,analysis_workflow_version,sample_type,is_ffpe,cases.submitter_id,sample.submitter_id
f3ea5b4a-9501-4e5b-8649-dddd88029e85,TXT,TCGA-PR-A5PF-01A-11R-A35K-07,open,991d6c81-9595-4ebf-81d9-1f8f8cef06fe.htseq.counts.gz,991d6c81-9595-4ebf-81d9-1f8f8cef06fe_count,Transcriptome Profiling,gene_expression,2016-05-30T19:01:26.923063-05:00,249131,2018-09-05T23:16:44.045570-05:00,6997a71fabcd514c4b51d1b927a3f28d,f3ea5b4a-9501-4e5b-8649-dddd88029e85,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-PCPG,aecfe46a-335e-46d8-b068-5d06d4b6ff88,released,991d6c81-9595-4ebf-81d9-1f8f8cef06fe_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-PR-A5PF,TCGA-PR-A5PF-01A
efd7b44c-38bb-4582-a2cf-687b3fa63c19,TXT,TCGA-RW-A681-01A-11R-A35K-07,open,ced9ceb2-89c7-4068-8791-c04a38175efd.htseq.counts.gz,ced9ceb2-89c7-4068-8791-c04a38175efd_count,Transcriptome Profiling,gene_expression,2016-05-30T19:03:53.171946-05:00,250464,2018-09-05T23:16:44.045570-05:00,3619f2af31a800a81d7c7510b5ec3f19,efd7b44c-38bb-4582-a2cf-687b3fa63c19,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-PCPG,74427ce3-0642-4c00-8951-1cc125821731,released,ced9ceb2-89c7-4068-8791-c04a38175efd_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-RW-A681,TCGA-RW-A681-01A
e87dc62e-0a66-426d-a784-27a2e94517ab,TXT,TCGA-QR-A70C-01A-21R-A35K-07,open,bd080527-71bf-454d-b7c9-47d7f865e867.htseq.counts.gz,bd080527-71bf-454d-b7c9-47d7f865e867_count,Transcriptome Profiling,gene_expression,2016-05-30T18:57:36.256264-05:00,250030,2018-09-05T23:16:44.045570-05:00,7ad97da5b5f8c3b6e79c94aa69057f16,e87dc62e-0a66-426d-a784-27a2e94517ab,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-PCPG,7f765a5b-b29d-4ac0-b892-138eb8d1af5e,released,bd080527-71bf-454d-b7c9-47d7f865e867_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-QR-A70C,TCGA-QR-A70C-01A
3a4d00a1-9647-43a7-a9e8-4e873ecea77e,TXT,TCGA-P7-A5NY-05A-11R-A35K-07,open,c9ae87e5-f612-4283-9f8d-5e4bfcfc684c.htseq.counts.gz,c9ae87e5-f612-4283-9f8d-5e4bfcfc684c_count,Transcriptome Profiling,gene_expression,2016-05-26T21:25:11.961345-05:00,252840,2018-09-05T23:16:44.045570-05:00,28df4fdb5e3a485e5a8357667e1efb27,3a4d00a1-9647-43a7-a9e8-4e873ecea77e,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-PCPG,b7557c10-7ccb-45ba-b0ba-5c79b4864572,released,c9ae87e5-f612-4283-9f8d-5e4bfcfc684c_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Additional - New Primary,FALSE,TCGA-P7-A5NY,TCGA-P7-A5NY-05A
cb359360-2526-4298-86b5-b191253b6a13,TXT,TCGA-QR-A700-01A-11R-A35K-07,open,98ffa99b-85e0-4411-95c1-97fc1d12cd21.htseq.counts.gz,98ffa99b-85e0-4411-95c1-97fc1d12cd21_count,Transcriptome Profiling,gene_expression,2016-05-30T18:57:25.072760-05:00,251962,2018-09-05T23:16:44.045570-05:00,c964f40add127e5f778d6bea26cce9b3,cb359360-2526-4298-86b5-b191253b6a13,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-PCPG,9a15e7e1-6ec0-44e7-aa33-dfdfac47b145,released,98ffa99b-85e0-4411-95c1-97fc1d12cd21_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-QR-A700,TCGA-QR-A700-01A
34f55616-5616-404d-853b-c62b08db545c,TXT,TCGA-TT-A6YO-01A-11R-A35L-07,open,90c0e9ef-12b9-4181-a3b9-5d748d0dfd94.htseq.counts.gz,90c0e9ef-12b9-4181-a3b9-5d748d0dfd94_count,Transcriptome Profiling,gene_expression,2016-05-26T21:08:12.803056-05:00,245051,2018-09-05T23:16:44.045570-05:00,c706744013b7be252daf98dfdc49d61d,34f55616-5616-404d-853b-c62b08db545c,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-PCPG,8052ccf2-91d8-49e3-ace8-d30da58a3bdd,released,90c0e9ef-12b9-4181-a3b9-5d748d0dfd94_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-TT-A6YO,TCGA-TT-A6YO-01A
a41d1d58-4ed5-42cb-b73c-27c08d37a073,TXT,TCGA-WB-A81R-01A-11R-A35L-07,open,14252afb-42ca-4d9d-a8c1-2515ffa38b26.htseq.counts.gz,14252afb-42ca-4d9d-a8c1-2515ffa38b26_count,Transcriptome Profiling,gene_expression,2016-05-29T10:18:20.504415-05:00,251732,2018-09-05T23:16:44.045570-05:00,9b2b8168f989930d0b6d1983a40bef13,a41d1d58-4ed5-42cb-b73c-27c08d37a073,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-PCPG,0972815e-c76c-46ef-905b-9dfade75e2cd,released,14252afb-42ca-4d9d-a8c1-2515ffa38b26_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-WB-A81R,TCGA-WB-A81R-01A
1f8c42a3-9620-420e-977d-16a17cb70623,TXT,TCGA-RW-A680-01A-11R-A35K-07,open,1cef783a-56e6-4abd-bf86-334288074e0b.htseq.counts.gz,1cef783a-56e6-4abd-bf86-334288074e0b_count,Transcriptome Profiling,gene_expression,2016-05-26T21:20:10.702107-05:00,245829,2018-09-05T23:16:44.045570-05:00,7ddbdd00de7d8d3809a8057a406bf7f9,1f8c42a3-9620-420e-977d-16a17cb70623,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-PCPG,501df991-7940-47df-8347-6de61d0be83b,released,1cef783a-56e6-4abd-bf86-334288074e0b_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-RW-A680,TCGA-RW-A680-01A
aa515e56-a838-4654-8502-e5325a1b47e7,TXT,TCGA-WB-A816-01A-11R-A35L-07,open,fb5ea10a-bdf1-415d-8656-bbb613a3772b.htseq.counts.gz,fb5ea10a-bdf1-415d-8656-bbb613a3772b_count,Transcriptome Profiling,gene_expression,2016-05-30T18:39:09.666136-05:00,253782,2018-09-05T23:16:44.045570-05:00,fbb073bbffee21ac1bd8809dc693ce53,aa515e56-a838-4654-8502-e5325a1b47e7,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-PCPG,c717fbe3-3d66-4057-8714-cda995563ee6,released,fb5ea10a-bdf1-415d-8656-bbb613a3772b_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-WB-A816,TCGA-WB-A816-01A
637b876e-ec0f-4c93-8b84-bd7a2e100a3c,TXT,TCGA-S7-A7WM-01A-12R-A35L-07,open,a0fd6a0e-1d27-4529-8278-a3d65032248c.htseq.counts.gz,a0fd6a0e-1d27-4529-8278-a3d65032248c_count,Transcriptome Profiling,gene_expression,2016-05-29T10:47:21.535836-05:00,253660,2018-09-05T23:16:44.045570-05:00,ad5e44fc42d662a39a09f006cdb64384,637b876e-ec0f-4c93-8b84-bd7a2e100a3c,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-PCPG,1eb75763-8f25-4e7e-ac76-24a6f4c7f18e,released,a0fd6a0e-1d27-4529-8278-a3d65032248c_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-S7-A7WM,TCGA-S7-A7WM-01A
