id,data_format,cases,access,file_name,submitter_id,data_category,type,created_datetime,file_size,updated_datetime,md5sum,file_id,data_type,state,experimental_strategy,version,data_release,project,analysis_id,analysis_state,analysis_submitter_id,analysis_workflow_link,analysis_workflow_type,analysis_workflow_version,sample_type,is_ffpe,cases.submitter_id,sample.submitter_id
d380fded-180a-4d52-b7b9-65a85b6d0b62,TXT,TCGA-V1-A9OF-01A-11R-A41O-07,open,02d936a2-14a6-43f1-90f5-eb5b14823f2d.htseq.counts.gz,02d936a2-14a6-43f1-90f5-eb5b14823f2d_count,Transcriptome Profiling,gene_expression,2016-05-30T18:52:58.318282-05:00,252055,2018-09-06T23:26:21.566227-05:00,1e59f52ccb7e0a4873b04f68a8f63891,d380fded-180a-4d52-b7b9-65a85b6d0b62,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-PRAD,6456a9f5-2ae5-4923-b62e-6a37329953bc,released,02d936a2-14a6-43f1-90f5-eb5b14823f2d_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-V1-A9OF,TCGA-V1-A9OF-01A
3ae91b73-0b89-4621-9b32-d3c6262b89fb,TXT,TCGA-ZG-A8QX-01A-11R-A37L-07,open,cf4fa58c-803f-4195-bf42-13aa71403d16.htseq.counts.gz,cf4fa58c-803f-4195-bf42-13aa71403d16_count,Transcriptome Profiling,gene_expression,2016-05-29T10:56:09.744836-05:00,253294,2018-09-06T23:26:21.566227-05:00,ffe6a0b7c71672b03a442e14540c8ee7,3ae91b73-0b89-4621-9b32-d3c6262b89fb,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-PRAD,ed7d668d-66fe-486f-8909-b5ccc17f7207,released,cf4fa58c-803f-4195-bf42-13aa71403d16_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-ZG-A8QX,TCGA-ZG-A8QX-01A
f0c27cc8-eead-4633-905c-c585c4559ba4,TXT,TCGA-YL-A8SC-01A-11R-A37L-07,open,9d305e58-9213-4652-ae2b-7ce36ea4d5ff.htseq.counts.gz,9d305e58-9213-4652-ae2b-7ce36ea4d5ff_count,Transcriptome Profiling,gene_expression,2016-05-29T10:19:40.242423-05:00,254992,2018-09-06T23:26:21.566227-05:00,304161eaa0681071aec566a454d64631,f0c27cc8-eead-4633-905c-c585c4559ba4,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-PRAD,87116055-7502-4760-989a-f15be1ba84cf,released,9d305e58-9213-4652-ae2b-7ce36ea4d5ff_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-YL-A8SC,TCGA-YL-A8SC-01A
92d8afac-7941-4776-8dcc-0c86c87496ab,TXT,TCGA-EJ-7783-11A-01R-2118-07,open,5fa8598f-7f51-4255-adee-0a7a67bdbc0c.htseq.counts.gz,5fa8598f-7f51-4255-adee-0a7a67bdbc0c_count,Transcriptome Profiling,gene_expression,2016-05-26T21:16:58.966543-05:00,251806,2018-09-06T23:26:21.566227-05:00,2b6bf25cce6010fa0e966e38997da16d,92d8afac-7941-4776-8dcc-0c86c87496ab,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-PRAD,c1ee74f0-f285-4bf9-a779-18b1f67acae5,released,5fa8598f-7f51-4255-adee-0a7a67bdbc0c_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Solid Tissue Normal,FALSE,TCGA-EJ-7783,TCGA-EJ-7783-11A
50232e9c-0453-4bab-9616-5391d0759a98,TXT,TCGA-HC-7817-01B-11R-A29R-07,open,d4b4ea9b-e7ab-431c-bb34-409a381bff44.htseq.counts.gz,d4b4ea9b-e7ab-431c-bb34-409a381bff44_count,Transcriptome Profiling,gene_expression,2016-05-30T19:01:36.372568-05:00,253610,2018-09-06T23:26:21.566227-05:00,8f40b6c6810eb0fd4d10f824e0778dbd,50232e9c-0453-4bab-9616-5391d0759a98,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-PRAD,3af4e1b1-9f15-498c-9469-104429f2342c,released,d4b4ea9b-e7ab-431c-bb34-409a381bff44_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-HC-7817,TCGA-HC-7817-01B
7776f85a-d86f-4020-a061-29b955eabdcc,TXT,TCGA-KC-A7F6-01A-11R-A33R-07,open,4ab525cc-7051-404e-9765-eaee16e4bb76.htseq.counts.gz,4ab525cc-7051-404e-9765-eaee16e4bb76_count,Transcriptome Profiling,gene_expression,2016-05-30T21:08:24.158778-05:00,253743,2018-09-06T23:26:21.566227-05:00,991d15675e6bd7dcfdf91eab615a0877,7776f85a-d86f-4020-a061-29b955eabdcc,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-PRAD,c4b0c5e9-234c-4517-b55f-0db1a60934ec,released,4ab525cc-7051-404e-9765-eaee16e4bb76_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-KC-A7F6,TCGA-KC-A7F6-01A
cef8adf5-b21d-4fb1-8936-c0859fd7955f,TXT,TCGA-G9-6362-11A-01R-1789-07,open,b7aa2312-9946-4dc5-a844-7e1cf249e284.htseq.counts.gz,b7aa2312-9946-4dc5-a844-7e1cf249e284_count,Transcriptome Profiling,gene_expression,2016-05-30T19:00:40.332710-05:00,251981,2018-09-06T23:26:21.566227-05:00,4a42621ea78c03d22861d0ac8a4d978c,cef8adf5-b21d-4fb1-8936-c0859fd7955f,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-PRAD,72f9805e-36d2-487e-90c9-9ba441b48de5,released,b7aa2312-9946-4dc5-a844-7e1cf249e284_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Solid Tissue Normal,FALSE,TCGA-G9-6362,TCGA-G9-6362-11A
370052d1-c105-4070-9115-8678aec588b9,TXT,TCGA-KK-A7B4-01A-11R-A32O-07,open,81b46278-eaea-412d-b1f1-19f114f932c9.htseq.counts.gz,81b46278-eaea-412d-b1f1-19f114f932c9_count,Transcriptome Profiling,gene_expression,2016-05-29T10:29:38.764936-05:00,255941,2018-09-06T23:26:21.566227-05:00,082b550ea1c365269f2c9b385e860573,370052d1-c105-4070-9115-8678aec588b9,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-PRAD,b0bf1261-0286-4d15-95a5-53b3f9002763,released,81b46278-eaea-412d-b1f1-19f114f932c9_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-KK-A7B4,TCGA-KK-A7B4-01A
5f9c9781-cce9-4cc3-af83-098c1425e717,TXT,TCGA-G9-6499-11A-02R-1965-07,open,15e656ea-3229-42eb-be95-379527324b54.htseq.counts.gz,15e656ea-3229-42eb-be95-379527324b54_count,Transcriptome Profiling,gene_expression,2016-05-29T10:55:15.095654-05:00,253901,2018-09-06T23:26:21.566227-05:00,768c0511da7ce86fa3b138d534e8550d,5f9c9781-cce9-4cc3-af83-098c1425e717,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-PRAD,9ec30052-0f23-4524-9d27-b70a79a8dba0,released,15e656ea-3229-42eb-be95-379527324b54_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Solid Tissue Normal,FALSE,TCGA-G9-6499,TCGA-G9-6499-11A
84fabdea-6795-46d4-9e28-690186577f54,TXT,TCGA-G9-6366-01A-11R-2118-07,open,90622959-d8ab-4996-bbd4-993ae0be4f63.htseq.counts.gz,90622959-d8ab-4996-bbd4-993ae0be4f63_count,Transcriptome Profiling,gene_expression,2016-05-29T11:10:03.590196-05:00,253391,2018-09-06T23:26:21.566227-05:00,a5b15dbfa7081d0457d6d329754b6f51,84fabdea-6795-46d4-9e28-690186577f54,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-PRAD,c16c1b16-3de1-470c-955a-438af13cc3d4,released,90622959-d8ab-4996-bbd4-993ae0be4f63_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-G9-6366,TCGA-G9-6366-01A
