id,data_format,cases,access,file_name,submitter_id,data_category,type,file_size,created_datetime,md5sum,updated_datetime,file_id,data_type,state,experimental_strategy,version,data_release,project,analysis_id,analysis_state,analysis_submitter_id,analysis_workflow_link,analysis_workflow_type,analysis_workflow_version,sample_type,is_ffpe,cases.submitter_id,sample.submitter_id
55ad9af2-354e-4848-b398-dc91244db715,TXT,TCGA-BF-A3DL-01A-11R-A20F-07,open,73ca07ee-562f-4aef-ab6e-52d7e63b1889.htseq.counts.gz,73ca07ee-562f-4aef-ab6e-52d7e63b1889_count,Transcriptome Profiling,gene_expression,245835,2016-05-30T18:55:48.671161-05:00,fae5aecee178be56ad2159f508eaf27a,2018-09-06T18:42:50.098635-05:00,55ad9af2-354e-4848-b398-dc91244db715,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-SKCM,381bf270-cf2f-4ce7-a7a0-85da10710a76,released,73ca07ee-562f-4aef-ab6e-52d7e63b1889_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-BF-A3DL,TCGA-BF-A3DL-01A
2421091d-ce6a-432b-ab67-d52f2ed858e1,TXT,TCGA-EE-A29H-06A-12R-A18S-07,open,692d3cf9-23f5-472c-85a7-cb266a0fb9db.htseq.counts.gz,692d3cf9-23f5-472c-85a7-cb266a0fb9db_count,Transcriptome Profiling,gene_expression,249921,2016-05-30T18:47:06.484630-05:00,dfee2c8d780f576b7930324d0bcab010,2018-09-06T18:42:50.098635-05:00,2421091d-ce6a-432b-ab67-d52f2ed858e1,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-SKCM,c1a1f88d-fa9e-4221-8bbc-667908902261,released,692d3cf9-23f5-472c-85a7-cb266a0fb9db_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Metastatic,FALSE,TCGA-EE-A29H,TCGA-EE-A29H-06A
b5586508-eb48-4408-b48b-9bd29aa44717,TXT,TCGA-EB-A6QZ-01A-12R-A32P-07,open,fd154f79-d222-4849-8a78-d4da41850efd.htseq.counts.gz,fd154f79-d222-4849-8a78-d4da41850efd_count,Transcriptome Profiling,gene_expression,251088,2016-05-30T18:26:39.821538-05:00,2c593df301cfaec8cc7a74780bcf4c01,2018-09-06T18:42:50.098635-05:00,b5586508-eb48-4408-b48b-9bd29aa44717,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-SKCM,1ef739ff-f5c5-482a-96c8-ffa4c07b8dcc,released,fd154f79-d222-4849-8a78-d4da41850efd_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-EB-A6QZ,TCGA-EB-A6QZ-01A
2780fc78-fe98-46d8-bd99-5ce55fe24294,TXT,TCGA-XV-A9W2-01A-11R-A39D-07,open,50124e50-c346-49b6-a493-d9114a7a05cb.htseq.counts.gz,50124e50-c346-49b6-a493-d9114a7a05cb_count,Transcriptome Profiling,gene_expression,249280,2016-05-29T10:49:06.891261-05:00,86cb286aa428961f79a70b0d08d2feb7,2018-09-06T18:42:50.098635-05:00,2780fc78-fe98-46d8-bd99-5ce55fe24294,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-SKCM,47bbddf0-84b3-40ab-b63b-e7eb87d503c5,released,50124e50-c346-49b6-a493-d9114a7a05cb_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-XV-A9W2,TCGA-XV-A9W2-01A
69738309-2857-4ed0-a53c-8846967d40e9,TXT,TCGA-FR-A8YC-06A-11R-A37K-07,open,5bf035c5-0694-4c79-80ce-bb51517c175b.htseq.counts.gz,5bf035c5-0694-4c79-80ce-bb51517c175b_count,Transcriptome Profiling,gene_expression,250676,2016-05-30T18:54:37.719018-05:00,82b9fc304064aad14e9f2dff1ef02bb5,2018-09-06T18:42:50.098635-05:00,69738309-2857-4ed0-a53c-8846967d40e9,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-SKCM,e5b5c0eb-df1a-49d1-93ad-0b0786a80539,released,5bf035c5-0694-4c79-80ce-bb51517c175b_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Metastatic,FALSE,TCGA-FR-A8YC,TCGA-FR-A8YC-06A
681c6452-5c1c-4abc-a923-74e9ce2fd77b,TXT,TCGA-DA-A3F3-06A-11R-A20F-07,open,ef7b049e-b764-4947-a6a1-206703e04316.htseq.counts.gz,ef7b049e-b764-4947-a6a1-206703e04316_count,Transcriptome Profiling,gene_expression,255837,2016-05-29T10:11:29.230007-05:00,732a0d193c6e7b71ca7b02cb74adb584,2018-09-06T18:42:50.098635-05:00,681c6452-5c1c-4abc-a923-74e9ce2fd77b,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-SKCM,6b33b660-512f-41e7-b0e7-8e235499ff9e,released,ef7b049e-b764-4947-a6a1-206703e04316_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Metastatic,FALSE,TCGA-DA-A3F3,TCGA-DA-A3F3-06A
a52ece59-cddf-4a5b-830d-42441b7784b2,TXT,TCGA-ER-A2NB-01A-12R-A18S-07,open,4df76a95-9f81-4072-bace-6f18f6789bee.htseq.counts.gz,4df76a95-9f81-4072-bace-6f18f6789bee_count,Transcriptome Profiling,gene_expression,242076,2016-05-30T18:41:44.721619-05:00,5b1aaf081f0fc12047076c4ece3ead89,2018-09-06T18:42:50.098635-05:00,a52ece59-cddf-4a5b-830d-42441b7784b2,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-SKCM,05035a9f-2ce8-4374-82fa-b225957ffdd5,released,4df76a95-9f81-4072-bace-6f18f6789bee_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-ER-A2NB,TCGA-ER-A2NB-01A
7b1e03e4-05bc-4bd9-8ac6-580c1c8607c6,TXT,TCGA-EB-A3XF-01A-31R-A239-07,open,b4acb23a-4f0f-40dd-be0e-2faa2f196f9f.htseq.counts.gz,b4acb23a-4f0f-40dd-be0e-2faa2f196f9f_count,Transcriptome Profiling,gene_expression,249000,2016-05-29T10:30:25.153477-05:00,2b8ca52ab376cb041a34c6428ca9009b,2018-09-06T18:42:50.098635-05:00,7b1e03e4-05bc-4bd9-8ac6-580c1c8607c6,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-SKCM,0407473d-b713-4744-8abc-dd38e55e88a3,released,b4acb23a-4f0f-40dd-be0e-2faa2f196f9f_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-EB-A3XF,TCGA-EB-A3XF-01A
52dc02e6-38dc-4862-94ac-15b6f9df0edd,TXT,TCGA-FW-A5DY-06A-11R-A311-07,open,c39f5ea8-07e5-4959-b3db-0c82f87b79d8.htseq.counts.gz,c39f5ea8-07e5-4959-b3db-0c82f87b79d8_count,Transcriptome Profiling,gene_expression,253371,2016-05-30T18:31:23.749886-05:00,d2909046c1e60f2047eef31ea10f32b7,2018-09-06T18:42:50.098635-05:00,52dc02e6-38dc-4862-94ac-15b6f9df0edd,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-SKCM,87449cfe-f8da-4c46-bf25-b0b8839cb7e0,released,c39f5ea8-07e5-4959-b3db-0c82f87b79d8_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Metastatic,FALSE,TCGA-FW-A5DY,TCGA-FW-A5DY-06A
515989f2-ec77-4f48-ac65-f2bd35b1f7a2,TXT,TCGA-D3-A3MV-06A-11R-A21D-07,open,12ed3585-6316-4cb5-8c83-5c99233b82a4.htseq.counts.gz,12ed3585-6316-4cb5-8c83-5c99233b82a4_count,Transcriptome Profiling,gene_expression,257905,2016-05-30T19:02:49.394060-05:00,c24a50b8e347ef9e5fec574ae3c27755,2018-09-06T18:42:50.098635-05:00,515989f2-ec77-4f48-ac65-f2bd35b1f7a2,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-SKCM,c4ac883d-ee70-4c1d-aa70-540657ab9613,released,12ed3585-6316-4cb5-8c83-5c99233b82a4_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Metastatic,FALSE,TCGA-D3-A3MV,TCGA-D3-A3MV-06A
