id,data_format,cases,access,file_name,submitter_id,data_category,type,created_datetime,file_size,updated_datetime,md5sum,file_id,data_type,state,experimental_strategy,version,data_release,project,analysis_id,analysis_state,analysis_submitter_id,analysis_workflow_link,analysis_workflow_type,analysis_workflow_version,sample_type,is_ffpe,cases.submitter_id,sample.submitter_id
39f24b8f-d0f1-490e-a88e-5425f38a920e,TXT,TCGA-EM-A3AP-01A-12R-A20F-07,open,7a4a8942-1cab-4338-86ad-d7eb26c265b5.htseq.counts.gz,7a4a8942-1cab-4338-86ad-d7eb26c265b5_count,Transcriptome Profiling,gene_expression,2016-05-26T21:13:13.020502-05:00,256886,2018-09-06T16:46:24.019585-05:00,1efb5d00847b2e322f32abc77d0f5f25,39f24b8f-d0f1-490e-a88e-5425f38a920e,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-THCA,06d09f44-4a0b-4fe4-ba6f-65d58a15f63c,released,7a4a8942-1cab-4338-86ad-d7eb26c265b5_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-EM-A3AP,TCGA-EM-A3AP-01A
0ad552a9-ee78-497e-816b-46c9e0af49f2,TXT,TCGA-EL-A4JZ-01A-11R-A250-07,open,8ca74c19-6199-43a2-b2b4-52249d9f0b0f.htseq.counts.gz,8ca74c19-6199-43a2-b2b4-52249d9f0b0f_count,Transcriptome Profiling,gene_expression,2016-05-29T10:16:13.435505-05:00,255398,2018-09-06T16:46:24.019585-05:00,cdc0552d0544a587ef22b9a2df64e601,0ad552a9-ee78-497e-816b-46c9e0af49f2,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-THCA,688347ad-6cb4-4709-b532-1fb541b31296,released,8ca74c19-6199-43a2-b2b4-52249d9f0b0f_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-EL-A4JZ,TCGA-EL-A4JZ-01A
60ebb5b6-b106-4736-99c6-2c745a57f574,TXT,TCGA-FE-A23A-01A-11R-A16R-07,open,0f3beda2-2e63-4c8f-bdbb-448c8c17c3f2.htseq.counts.gz,0f3beda2-2e63-4c8f-bdbb-448c8c17c3f2_count,Transcriptome Profiling,gene_expression,2016-05-30T21:09:02.240520-05:00,257818,2018-09-06T16:46:24.019585-05:00,d5f140efed3995117a03a02223850a1b,60ebb5b6-b106-4736-99c6-2c745a57f574,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-THCA,a8da7959-070c-4050-af9c-32aca7c9bd33,released,0f3beda2-2e63-4c8f-bdbb-448c8c17c3f2_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-FE-A23A,TCGA-FE-A23A-01A
7dffb28d-fdbe-4b16-8478-2640bb9552a5,TXT,TCGA-BJ-A45K-01A-11R-A23W-07,open,54d00fcb-6468-4716-9491-d1094a250d46.htseq.counts.gz,54d00fcb-6468-4716-9491-d1094a250d46_count,Transcriptome Profiling,gene_expression,2016-05-29T10:49:54.618260-05:00,255584,2018-09-06T16:46:24.019585-05:00,e2809dded65c05993db281eff9949d11,7dffb28d-fdbe-4b16-8478-2640bb9552a5,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-THCA,bf2007fd-2b4d-49dd-94c0-fa9ef9e6ef71,released,54d00fcb-6468-4716-9491-d1094a250d46_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-BJ-A45K,TCGA-BJ-A45K-01A
36b5ae75-1f17-493c-8e37-0cde871cc31c,TXT,TCGA-DJ-A1QE-01A-21R-A14Y-07,open,9f5664c2-268d-4b27-af0e-a86b34d3c66b.htseq.counts.gz,9f5664c2-268d-4b27-af0e-a86b34d3c66b_count,Transcriptome Profiling,gene_expression,2016-05-29T11:08:17.341457-05:00,254087,2018-09-06T16:46:24.019585-05:00,16648b2a2e4b75061c043406d10a4e2b,36b5ae75-1f17-493c-8e37-0cde871cc31c,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-THCA,e8ad3c15-7cdd-4660-8bec-028c377f70b7,released,9f5664c2-268d-4b27-af0e-a86b34d3c66b_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-DJ-A1QE,TCGA-DJ-A1QE-01A
353e50d8-4139-4001-9e01-fed2b8de2353,TXT,TCGA-E8-A433-01A-11R-A23N-07,open,2752298b-aedc-4dac-97fe-f88ca42f011a.htseq.counts.gz,2752298b-aedc-4dac-97fe-f88ca42f011a_count,Transcriptome Profiling,gene_expression,2016-05-29T10:24:55.340673-05:00,251357,2018-09-06T16:46:24.019585-05:00,a0c4f82387e12b8b45db75d21a6eed0c,353e50d8-4139-4001-9e01-fed2b8de2353,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-THCA,f4875f48-7588-490c-9242-fdcf8ff82d45,released,2752298b-aedc-4dac-97fe-f88ca42f011a_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-E8-A433,TCGA-E8-A433-01A
1b9e0d72-7537-4b8e-bfd0-06a8c887c241,TXT,TCGA-BJ-A18Z-01A-21R-A13Y-07,open,75eae310-d206-4219-bd13-8335cfc98769.htseq.counts.gz,75eae310-d206-4219-bd13-8335cfc98769_count,Transcriptome Profiling,gene_expression,2016-05-26T21:11:40.823421-05:00,251158,2018-09-06T16:46:24.019585-05:00,7aaed88e290d7f3804b048aa6ea413b7,1b9e0d72-7537-4b8e-bfd0-06a8c887c241,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-THCA,37babcc8-0144-4ae3-bd9b-77a0d0c1cf65,released,75eae310-d206-4219-bd13-8335cfc98769_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-BJ-A18Z,TCGA-BJ-A18Z-01A
beba9913-d4e1-4307-9fb2-590e032cc22e,TXT,TCGA-EL-A4K7-01A-11R-A250-07,open,6d725329-1323-48ea-9d03-1d20b520aff8.htseq.counts.gz,6d725329-1323-48ea-9d03-1d20b520aff8_count,Transcriptome Profiling,gene_expression,2016-05-29T11:07:57.468885-05:00,247859,2018-09-06T16:46:24.019585-05:00,05c65ecebbb25204cba8678727745c4e,beba9913-d4e1-4307-9fb2-590e032cc22e,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-THCA,64723fbc-054a-485b-8b20-535e9d473d12,released,6d725329-1323-48ea-9d03-1d20b520aff8_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-EL-A4K7,TCGA-EL-A4K7-01A
156a2500-b93e-4228-80c5-b587ad56c46e,TXT,TCGA-FY-A3W9-01A-11R-A22L-07,open,22594a92-8dd6-4826-a275-12fed73f6baa.htseq.counts.gz,22594a92-8dd6-4826-a275-12fed73f6baa_count,Transcriptome Profiling,gene_expression,2016-05-30T18:26:06.872141-05:00,258391,2018-09-06T16:46:24.019585-05:00,780eeefb829c191d2ef2c310eac24113,156a2500-b93e-4228-80c5-b587ad56c46e,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-THCA,34f8e5ff-32da-42db-bd46-c70d41a1d8c3,released,22594a92-8dd6-4826-a275-12fed73f6baa_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-FY-A3W9,TCGA-FY-A3W9-01A
d357ae60-9bb1-4406-ab4b-d6649e6cacde,TXT,TCGA-DJ-A13S-01A-11R-A10U-07,open,b2016510-5d0b-45be-b39a-a06baa68e6e0.htseq.counts.gz,b2016510-5d0b-45be-b39a-a06baa68e6e0_count,Transcriptome Profiling,gene_expression,2016-05-29T10:48:40.856014-05:00,254284,2018-09-06T16:46:24.019585-05:00,66ad4cf8082d6382b15179c3196895d4,d357ae60-9bb1-4406-ab4b-d6649e6cacde,Gene Expression Quantification,released,RNA-Seq,1,12.0 - 28.0,TCGA-THCA,4a126f99-8cc0-4add-bbe4-b06c6963c6c0,released,b2016510-5d0b-45be-b39a-a06baa68e6e0_count,https://github.com/NCI-GDC/htseq-cwl,HTSeq - Counts,v1,Primary Tumor,FALSE,TCGA-DJ-A13S,TCGA-DJ-A13S-01A
